sample_pt_desc,latitude,longitude,sample_id,year,quarter,cod,conductivity,e_coli,pH,nitrate,phosphate,physical_compliance_percentage,chemical_compliance_percentage,bacteriological_compliance_percentage,biological_compliance_percentage,overall_compliance_percentage,river
Harringtonspruit @ Nancefield Industrial Area,-26.31,27.912,K3,2013,Apr-Jun,,52.0,,7.3,3.0,0.65,60.0,90.91,0.0,0.0,37.73,Klip
Harringtonspruit @ Nancefield Industrial Area,-26.31,27.912,K3,2013,Jul-Sep,,54.0,,7.5,2.2,0.59,60.0,100.0,0.0,0.0,40.0,Klip
Harringtonspruit @ Nancefield Industrial Area,-26.31,27.912,K3,2013,Oct-Dec,,54.0,,7.5,1.6,0.59,60.0,100.0,0.0,0.0,40.0,Klip
Klip River @ Olifantsvlei Sewage Works,-26.311,27.912,K4,2013,Jan-Mar,,49.0,740.0,7.3,2.18,0.28,60.0,100.0,0.0,0.0,40.0,Klip
Klip River @ Olifantsvlei Sewage Works,-26.311,27.912,K4,2013,Apr-Jun,,48.0,900.0,7.5,3.2,0.25,60.0,100.0,0.0,0.0,40.0,Klip
Klip River @ Olifantsvlei Sewage Works,-26.311,27.912,K4,2013,Jul-Sep,,51.0,3490.0,7.6,3.0,0.21,60.0,100.0,0.0,0.0,40.0,Klip
Klip River @ Olifantsvlei Sewage Works,-26.311,27.912,K4,2013,Oct-Dec,,52.0,4760.0,7.4,2.0,0.3,60.0,100.0,0.0,0.0,40.0,Klip
Klipspruit @ Kliptown ,-26.29,27.886,K5,2013,Jan-Mar,,57.0,,6.9,1.06,0.11,60.0,81.82,0.0,0.0,35.46,Klip
Klipspruit @ Kliptown ,-26.29,27.886,K5,2013,Apr-Jun,,49.0,,7.2,1.6,0.11,60.0,90.91,0.0,0.0,37.73,Klip
Klipspruit @ Kliptown ,-26.29,27.886,K5,2013,Jul-Sep,,58.0,,7.5,1.4,0.18,60.0,81.82,0.0,0.0,35.46,Klip
Klipspruit @ Kliptown ,-26.29,27.886,K5,2013,Oct-Dec,,58.0,,7.2,0.75,0.28,60.0,90.91,0.0,0.0,37.73,Klip
Klip River @ Soweto N12 Highway,-26.295,27.837,K6,2013,Jan-Mar,,50.0,,7.3,1.34,0.26,40.0,100.0,0.0,0.0,35.0,Klip
Klip River @ Soweto N12 Highway,-26.295,27.837,K6,2013,Apr-Jun,,54.0,,7.5,2.8,0.15,60.0,100.0,0.0,0.0,40.0,Klip
Klip River @ Soweto N12 Highway,-26.295,27.837,K6,2013,Jul-Sep,,52.0,,7.5,2.0,0.24,60.0,100.0,0.0,0.0,40.0,Klip
Klip River @ Soweto N12 Highway,-26.295,27.837,K6,2013,Oct-Dec,,56.0,,7.5,1.3,0.33,40.0,100.0,0.0,0.0,35.0,Klip
Elsburgspruit @ Heidelberg Road,-26.276,28.202,E17,2013,Jan-Mar,,72.0,53620.0,6.9,0.63,0.05,40.0,90.91,0.0,0.0,32.73,Klip
Elsburgspruit @ Heidelberg Road,-26.276,28.202,E17,2013,Apr-Jun,,94.0,10490.0,6.9,1.0,0.05,40.0,90.91,0.0,0.0,32.73,Klip
Elsburgspruit @ Heidelberg Road,-26.276,28.202,E17,2013,Jul-Sep,,94.0,10070.0,7.4,0.72,0.06,60.0,72.73,0.0,0.0,33.18,Klip
Elsburgspruit @ Heidelberg Road,-26.276,28.202,E17,2013,Oct-Dec,,88.0,31490.0,7.1,0.45,0.18,40.0,90.91,0.0,0.0,32.73,Klip
Stream @ Witwatersrand Gold Mine,-26.195,28.19,E2,2013,Jan-Mar,,220.0,,8.2,1.27,0.05,40.0,90.91,0.0,0.0,32.73,Klip
Stream @ Witwatersrand Gold Mine,-26.195,28.19,E2,2013,Apr-Jun,,135.0,,6.5,1.5,0.09,40.0,72.73,0.0,0.0,28.18,Klip
Stream @ Witwatersrand Gold Mine,-26.195,28.19,E2,2013,Jul-Sep,,77.0,,7.4,0.66,0.23,40.0,100.0,0.0,0.0,35.0,Klip
Stream @ Witwatersrand Gold Mine,-26.195,28.19,E2,2013,Oct-Dec,,110.0,,7.3,0.13,0.32,40.0,90.91,0.0,0.0,32.73,Klip
Elsburgspruit @ Elsburg Town ,-26.25,28.204,E7,2013,Jan-Mar,,100.0,,6.8,0.77,0.1,60.0,81.82,0.0,0.0,35.46,Klip
Elsburgspruit @ Elsburg Town ,-26.25,28.204,E7,2013,Apr-Jun,,110.0,,6.1,1.1,0.06,40.0,72.73,0.0,0.0,28.18,Klip
Elsburgspruit @ Elsburg Town ,-26.25,28.204,E7,2013,Jul-Sep,,105.0,,7.2,1.0,0.07,60.0,81.82,0.0,0.0,35.46,Klip
Elsburgspruit @ Elsburg Town ,-26.25,28.204,E7,2013,Oct-Dec,,105.0,,6.9,0.57,0.18,60.0,81.82,0.0,0.0,35.46,Klip
Stream @ Elspark ,-26.262,28.222,E8,2013,Jan-Mar,,57.0,,7.2,0.7,0.05,60.0,100.0,0.0,0.0,40.0,Klip
Stream @ Elspark ,-26.262,28.222,E8,2013,Apr-Jun,,69.0,,7.1,0.65,0.05,60.0,100.0,0.0,0.0,40.0,Klip
Stream @ Elspark ,-26.262,28.222,E8,2013,Jul-Sep,,90.0,,7.5,0.75,0.26,60.0,100.0,0.0,0.0,40.0,Klip
Stream @ Elspark ,-26.262,28.222,E8,2013,Oct-Dec,,70.0,,7.3,0.66,0.19,60.0,100.0,0.0,0.0,40.0,Klip
Natalspruit from Simmer and Jack Mine,-26.24,28.124,N4,2013,Jan-Mar,,74.0,,4.7,0.66,0.05,40.0,72.73,0.0,0.0,28.18,Klip
Natalspruit from Simmer and Jack Mine,-26.24,28.124,N4,2013,Apr-Jun,,100.0,,5.0,0.68,0.05,40.0,72.73,0.0,0.0,28.18,Klip
Natalspruit from Simmer and Jack Mine,-26.24,28.124,N4,2013,Jul-Sep,,130.0,,4.4,1.3,0.33,20.0,72.73,0.0,0.0,23.18,Klip
Natalspruit from Simmer and Jack Mine,-26.24,28.124,N4,2013,Oct-Dec,,115.0,,3.7,0.47,0.19,40.0,72.73,0.0,0.0,28.18,Klip
Natalspruit @ Alrode ,-26.298,28.144,N7,2013,Jan-Mar,,58.0,22350.0,6.5,0.7,0.08,60.0,90.91,0.0,0.0,37.73,Klip
Natalspruit @ Alrode ,-26.298,28.144,N7,2013,Apr-Jun,,72.0,48100.0,6.7,1.2,0.06,40.0,90.91,0.0,0.0,32.73,Klip
Natalspruit @ Alrode ,-26.298,28.144,N7,2013,Jul-Sep,,80.0,30310.0,7.0,0.92,0.06,60.0,90.91,0.0,0.0,37.73,Klip
Natalspruit @ Alrode ,-26.298,28.144,N7,2013,Oct-Dec,,68.0,24080.0,6.7,0.38,0.19,40.0,90.91,0.0,0.0,32.73,Klip
Natalspruit @ Heidelberg Road ,-26.426,28.165,N8,2013,Jan-Mar,17.0,72.0,1530.0,7.1,2.95,0.23,100.0,100.0,0.0,100.0,75.0,Klip
Natalspruit @ Heidelberg Road ,-26.426,28.165,N8,2013,Apr-Jun,14.0,68.0,900.0,7.2,2.8,0.1,100.0,100.0,0.0,100.0,75.0,Klip
Natalspruit @ Heidelberg Road ,-26.426,28.165,N8,2013,Jul-Sep,26.0,79.0,650.0,7.6,4.4,0.11,100.0,100.0,0.0,100.0,75.0,Klip
Natalspruit @ Heidelberg Road ,-26.426,28.165,N8,2013,Oct-Dec,25.0,78.0,4340.0,7.4,2.9,0.29,80.0,100.0,0.0,100.0,70.0,Klip
Rietspruit from Sallies ,-26.305,28.336,R1,2013,Jan-Mar,,120.0,,6.8,0.34,0.07,60.0,100.0,0.0,0.0,40.0,Klip
Rietspruit from Sallies ,-26.305,28.336,R1,2013,Apr-Jun,,150.0,,6.6,0.13,0.05,40.0,100.0,0.0,0.0,35.0,Klip
Rietspruit from Sallies ,-26.305,28.336,R1,2013,Jul-Sep,,,,,,,0.0,0.0,0.0,0.0,0.0,Klip
Rietspruit from Sallies ,-26.305,28.336,R1,2013,Oct-Dec,,150.0,,7.8,0.35,0.1,20.0,100.0,0.0,0.0,30.0,Klip
Withokspruit Tributary ,-26.324,28.339,R2,2013,Jan-Mar,,36.0,,7.3,0.56,0.11,60.0,100.0,0.0,0.0,40.0,Klip
Withokspruit Tributary ,-26.324,28.339,R2,2013,Apr-Jun,,44.0,,7.4,1.3,0.07,60.0,100.0,0.0,0.0,40.0,Klip
Withokspruit Tributary ,-26.324,28.339,R2,2013,Jul-Sep,,49.0,,7.7,1.0,0.06,40.0,100.0,0.0,0.0,35.0,Klip
Withokspruit Tributary ,-26.324,28.339,R2,2013,Oct-Dec,,53.0,,7.7,0.98,0.17,40.0,100.0,0.0,0.0,35.0,Klip
Tributary @ Van Dyk Consolidated,-26.259,28.321,R3,2013,Jan-Mar,,48.0,,7.4,0.32,0.19,60.0,100.0,0.0,0.0,40.0,Klip
Tributary @ Van Dyk Consolidated,-26.259,28.321,R3,2013,Apr-Jun,,52.0,,7.4,0.68,0.06,60.0,100.0,0.0,0.0,40.0,Klip
Tributary @ Van Dyk Consolidated,-26.259,28.321,R3,2013,Jul-Sep,,35.0,,7.8,0.93,0.06,60.0,100.0,0.0,0.0,40.0,Klip
Tributary @ Van Dyk Consolidated,-26.259,28.321,R3,2013,Oct-Dec,,35.0,,7.3,1.0,0.15,40.0,100.0,0.0,0.0,35.0,Klip
Rietspruit @ Vosloorus ,-26.372,28.245,R4,2013,Jan-Mar,,120.0,,7.6,0.21,0.1,60.0,100.0,0.0,0.0,40.0,Klip
Rietspruit @ Vosloorus ,-26.372,28.245,R4,2013,Apr-Jun,,140.0,,7.4,0.21,0.06,40.0,100.0,0.0,0.0,35.0,Klip
Rietspruit @ Vosloorus ,-26.372,28.245,R4,2013,Jul-Sep,,185.0,,7.8,0.54,0.22,40.0,90.91,0.0,0.0,32.73,Klip
Rietspruit @ Vosloorus ,-26.372,28.245,R4,2013,Oct-Dec,,165.0,,7.7,0.56,0.15,20.0,100.0,0.0,0.0,30.0,Klip
Rietspruit @ Hardmans Farm ,-26.429,28.181,R5,2013,Jan-Mar,,90.0,67770.0,7.6,0.81,0.24,60.0,100.0,0.0,0.0,40.0,Klip
Rietspruit @ Hardmans Farm ,-26.429,28.181,R5,2013,Apr-Jun,,100.0,10390.0,6.7,1.6,0.08,60.0,100.0,0.0,0.0,40.0,Klip
Rietspruit @ Hardmans Farm ,-26.429,28.181,R5,2013,Jul-Sep,,135.0,152340.0,8.1,1.9,0.14,40.0,100.0,0.0,0.0,35.0,Klip
Rietspruit @ Hardmans Farm ,-26.429,28.181,R5,2013,Oct-Dec,,125.0,63180.0,7.7,0.75,0.23,20.0,100.0,0.0,0.0,30.0,Klip
Rietspruit Weir @ Luttig's Farm ,-26.451,28.089,R6,2013,Jan-Mar,15.0,74.0,1520.0,7.4,2.79,0.29,100.0,100.0,0.0,100.0,75.0,Klip
Rietspruit Weir @ Luttig's Farm ,-26.451,28.089,R6,2013,Apr-Jun,14.0,72.0,1540.0,7.2,3.8,0.13,80.0,100.0,0.0,100.0,70.0,Klip
Rietspruit Weir @ Luttig's Farm ,-26.451,28.089,R6,2013,Jul-Sep,22.0,83.0,340.0,7.5,5.5,0.11,100.0,100.0,100.0,100.0,100.0,Klip
Rietspruit Weir @ Luttig's Farm ,-26.451,28.089,R6,2013,Oct-Dec,24.0,80.0,3940.0,7.3,3.7,0.28,80.0,100.0,0.0,100.0,70.0,Klip
Klip River @ Lido Hotel ,-26.326,27.988,K1,2014,Jan-Mar,,50.0,,7.5,2.1,0.32,60.0,100.0,0.0,0.0,40.0,Klip
Klip River @ Lido Hotel ,-26.326,27.988,K1,2014,Apr-Jun,,54.0,,7.5,3.8,0.44,60.0,100.0,0.0,0.0,40.0,Klip
Klip River @ Lido Hotel ,-26.326,27.988,K1,2014,Jul-Sep,,57.0,,7.5,2.4,0.73,40.0,90.91,0.0,0.0,32.73,Klip
Klip River @ Lido Hotel ,-26.326,27.988,K1,2014,Oct-Dec,,50.0,,7.3,3.2,0.49,60.0,100.0,0.0,0.0,40.0,Klip
Klip River @ Everite ,-26.421,28.095,K10,2014,Jan-Mar,,49.0,,7.6,2.1,0.36,60.0,100.0,0.0,0.0,40.0,Klip
Klip River @ Everite ,-26.421,28.095,K10,2014,Apr-Jun,,59.0,,7.6,4.0,0.33,60.0,100.0,0.0,0.0,40.0,Klip
Klip River @ Everite ,-26.421,28.095,K10,2014,Jul-Sep,,58.0,,7.5,2.3,0.8,60.0,90.91,0.0,0.0,37.73,Klip
Klip River @ Everite ,-26.421,28.095,K10,2014,Oct-Dec,,49.0,,7.3,2.6,0.39,60.0,100.0,0.0,0.0,40.0,Klip
Klip River from Roodepoort @ R41 Bridge,-26.169,27.833,K11,2014,Jan-Mar,,31.0,,7.4,0.41,0.1,60.0,100.0,0.0,0.0,40.0,Klip
Klip River from Roodepoort @ R41 Bridge,-26.169,27.833,K11,2014,Apr-Jun,,41.0,,7.4,1.1,0.21,60.0,100.0,0.0,0.0,40.0,Klip
Klip River from Roodepoort @ R41 Bridge,-26.169,27.833,K11,2014,Jul-Sep,,44.0,,7.6,2.0,0.16,60.0,81.82,0.0,0.0,35.46,Klip
Klip River from Roodepoort @ R41 Bridge,-26.169,27.833,K11,2014,Oct-Dec,,35.0,,7.4,0.66,0.08,60.0,100.0,0.0,0.0,40.0,Klip
Klip River from Witpoortjie @ R41 Bridge,-26.176,27.818,K14,2014,Jan-Mar,,22.0,,7.1,1.1,0.1,60.0,100.0,0.0,0.0,40.0,Klip
Klip River from Witpoortjie @ R41 Bridge,-26.176,27.818,K14,2014,Apr-Jun,,18.0,,7.0,0.54,0.1,60.0,100.0,0.0,0.0,40.0,Klip
Klip River from Witpoortjie @ R41 Bridge,-26.176,27.818,K14,2014,Jul-Sep,,17.0,,7.2,0.37,0.12,60.0,100.0,0.0,0.0,40.0,Klip
Klip River from Witpoortjie @ R41 Bridge,-26.176,27.818,K14,2014,Oct-Dec,,20.0,,7.3,0.28,0.08,40.0,100.0,0.0,0.0,35.0,Klip
Klip River Weir @ Henley-On- Klip,-26.549,28.064,K18,2014,Jan-Mar,,59.0,16180.0,7.6,2.3,0.36,40.0,100.0,0.0,0.0,35.0,Klip
Klip River Weir @ Henley-On- Klip,-26.549,28.064,K18,2014,Apr-Jun,,65.0,1310.0,7.6,4.9,0.34,60.0,100.0,0.0,0.0,40.0,Klip
Klip River Weir @ Henley-On- Klip,-26.549,28.064,K18,2014,Jul-Sep,,76.0,1910.0,7.5,4.3,0.39,60.0,100.0,0.0,0.0,40.0,Klip
Klip River Weir @ Henley-On- Klip,-26.549,28.064,K18,2014,Oct-Dec,,68.0,33720.0,7.4,3.2,0.33,40.0,100.0,0.0,0.0,35.0,Klip
Klip River Weir @ Zwartkopjes Farm,-26.38,28.071,K21,2014,Jan-Mar,19.0,51.0,7710.0,7.5,2.8,0.37,80.0,100.0,0.0,100.0,70.0,Klip
Klip River Weir @ Zwartkopjes Farm,-26.38,28.071,K21,2014,Apr-Jun,21.0,55.0,1730.0,7.6,3.5,0.38,100.0,100.0,0.0,100.0,75.0,Klip
Klip River Weir @ Zwartkopjes Farm,-26.38,28.071,K21,2014,Jul-Sep,26.0,57.0,161830.0,7.5,3.4,0.67,100.0,90.91,0.0,100.0,72.73,Klip
Klip River Weir @ Zwartkopjes Farm,-26.38,28.071,K21,2014,Oct-Dec,26.0,54.0,91530.0,7.4,3.3,0.43,80.0,100.0,0.0,100.0,70.0,Klip
Klip River downstream of Rietspruit Confluence,-26.454,28.085,K25,2014,Jan-Mar,,57.0,8100.0,7.7,2.4,0.34,40.0,100.0,0.0,0.0,35.0,Klip
Klip River downstream of Rietspruit Confluence,-26.454,28.085,K25,2014,Apr-Jun,,66.0,1740.0,7.6,4.1,0.31,60.0,100.0,0.0,0.0,40.0,Klip
Klip River downstream of Rietspruit Confluence,-26.454,28.085,K25,2014,Jul-Sep,,81.0,101460.0,7.5,4.3,0.57,60.0,100.0,0.0,0.0,40.0,Klip
Klip River downstream of Rietspruit Confluence,-26.454,28.085,K25,2014,Oct-Dec,,64.0,19780.0,7.3,2.2,0.2,40.0,100.0,0.0,0.0,35.0,Klip
Harringtonspruit @ Nancefield Industrial Area,-26.31,27.912,K3,2014,Jan-Mar,,52.0,,7.5,2.9,0.78,60.0,90.91,0.0,0.0,37.73,Klip
Harringtonspruit @ Nancefield Industrial Area,-26.31,27.912,K3,2014,Apr-Jun,,54.0,,7.4,1.6,0.57,60.0,100.0,0.0,0.0,40.0,Klip
Harringtonspruit @ Nancefield Industrial Area,-26.31,27.912,K3,2014,Jul-Sep,,51.0,,7.5,4.4,0.42,60.0,100.0,0.0,0.0,40.0,Klip
Harringtonspruit @ Nancefield Industrial Area,-26.31,27.912,K3,2014,Oct-Dec,,49.0,,7.4,3.7,1.2,40.0,90.91,0.0,0.0,32.73,Klip
Klip River @ Olifantsvlei Sewage Works,-26.311,27.912,K4,2014,Jan-Mar,,48.0,2040.0,7.6,2.4,0.32,60.0,100.0,0.0,0.0,40.0,Klip
Klip River @ Olifantsvlei Sewage Works,-26.311,27.912,K4,2014,Apr-Jun,,53.0,1390.0,7.6,3.3,0.28,60.0,100.0,0.0,0.0,40.0,Klip
Klip River @ Olifantsvlei Sewage Works,-26.311,27.912,K4,2014,Jul-Sep,,55.0,1280.0,7.7,4.8,0.17,60.0,100.0,0.0,0.0,40.0,Klip
Klip River @ Olifantsvlei Sewage Works,-26.311,27.912,K4,2014,Oct-Dec,,48.0,18920.0,7.4,1.4,0.14,60.0,100.0,0.0,0.0,40.0,Klip
Klipspruit @ Kliptown ,-26.29,27.886,K5,2014,Jan-Mar,,59.0,,7.0,1.4,0.15,60.0,90.91,0.0,0.0,37.73,Klip
Klipspruit @ Kliptown ,-26.29,27.886,K5,2014,Apr-Jun,,60.0,,7.4,0.77,0.13,60.0,81.82,0.0,0.0,35.46,Klip
Klipspruit @ Kliptown ,-26.29,27.886,K5,2014,Jul-Sep,,59.0,,7.4,0.91,0.21,60.0,81.82,0.0,0.0,35.46,Klip
Klipspruit @ Kliptown ,-26.29,27.886,K5,2014,Oct-Dec,,51.0,,7.2,0.69,0.08,60.0,81.82,0.0,0.0,35.46,Klip
Klip River @ Soweto N12 Highway,-26.295,27.837,K6,2014,Jan-Mar,,50.0,,7.6,1.1,0.44,40.0,100.0,0.0,0.0,35.0,Klip
Klip River @ Soweto N12 Highway,-26.295,27.837,K6,2014,Apr-Jun,,54.0,,7.4,1.9,0.31,60.0,100.0,0.0,0.0,40.0,Klip
Klip River @ Soweto N12 Highway,-26.295,27.837,K6,2014,Jul-Sep,,56.0,,7.5,1.9,0.49,40.0,100.0,0.0,0.0,35.0,Klip
Klip River @ Soweto N12 Highway,-26.295,27.837,K6,2014,Oct-Dec,,55.0,,7.5,1.1,0.3,40.0,100.0,0.0,0.0,35.0,Klip
Elsburgspruit @ Heidelberg Road,-26.276,28.202,E17,2014,Jan-Mar,,72.0,204870.0,7.2,0.99,0.17,40.0,90.91,0.0,0.0,32.73,Klip
Elsburgspruit @ Heidelberg Road,-26.276,28.202,E17,2014,Apr-Jun,,96.0,28920.0,7.2,0.53,0.2,40.0,90.91,0.0,0.0,32.73,Klip
Elsburgspruit @ Heidelberg Road,-26.276,28.202,E17,2014,Jul-Sep,,260.0,24950.0,7.2,2.1,0.14,20.0,81.82,0.0,0.0,25.46,Klip
Elsburgspruit @ Heidelberg Road,-26.276,28.202,E17,2014,Oct-Dec,,255.0,26570.0,7.3,0.54,0.06,20.0,81.82,0.0,0.0,25.46,Klip
Stream @ Witwatersrand Gold Mine,-26.195,28.19,E2,2014,Jan-Mar,,32.0,,7.0,0.45,0.55,40.0,100.0,0.0,0.0,35.0,Klip
Stream @ Witwatersrand Gold Mine,-26.195,28.19,E2,2014,Apr-Jun,,29.0,,7.0,0.95,0.13,60.0,100.0,0.0,0.0,40.0,Klip
Stream @ Witwatersrand Gold Mine,-26.195,28.19,E2,2014,Jul-Sep,,85.0,,7.3,1.7,0.47,40.0,90.91,0.0,0.0,32.73,Klip
Stream @ Witwatersrand Gold Mine,-26.195,28.19,E2,2014,Oct-Dec,,105.0,,7.2,0.41,0.92,40.0,81.82,0.0,0.0,30.46,Klip
Elsburgspruit @ Elsburg Town ,-26.25,28.204,E7,2014,Jan-Mar,,73.0,,7.1,0.46,0.24,40.0,90.91,0.0,0.0,32.73,Klip
Elsburgspruit @ Elsburg Town ,-26.25,28.204,E7,2014,Apr-Jun,,91.0,,7.1,0.29,0.18,60.0,81.82,0.0,0.0,35.46,Klip
Elsburgspruit @ Elsburg Town ,-26.25,28.204,E7,2014,Jul-Sep,,295.0,,7.0,0.95,0.11,40.0,81.82,0.0,0.0,30.46,Klip
Elsburgspruit @ Elsburg Town ,-26.25,28.204,E7,2014,Oct-Dec,,295.0,,7.1,2.6,0.08,20.0,81.82,0.0,0.0,25.46,Klip
Stream @ Elspark ,-26.262,28.222,E8,2014,Jan-Mar,,68.0,,7.6,0.74,0.1,60.0,100.0,0.0,0.0,40.0,Klip
Stream @ Elspark ,-26.262,28.222,E8,2014,Apr-Jun,,110.0,,7.5,0.65,0.14,60.0,100.0,0.0,0.0,40.0,Klip
Stream @ Elspark ,-26.262,28.222,E8,2014,Jul-Sep,,120.0,,7.8,0.42,0.09,60.0,100.0,0.0,0.0,40.0,Klip
Stream @ Elspark ,-26.262,28.222,E8,2014,Oct-Dec,,115.0,,7.8,0.65,0.07,60.0,100.0,0.0,0.0,40.0,Klip
Natalspruit from Simmer and Jack Mine,-26.24,28.124,N4,2014,Jan-Mar,,105.0,,4.4,0.81,0.1,40.0,72.73,0.0,0.0,28.18,Klip
Natalspruit from Simmer and Jack Mine,-26.24,28.124,N4,2014,Apr-Jun,,115.0,,4.2,1.2,0.08,40.0,72.73,0.0,0.0,28.18,Klip
Natalspruit from Simmer and Jack Mine,-26.24,28.124,N4,2014,Jul-Sep,,130.0,,4.7,1.2,0.09,20.0,72.73,0.0,0.0,23.18,Klip
Natalspruit from Simmer and Jack Mine,-26.24,28.124,N4,2014,Oct-Dec,,105.0,,4.3,0.54,0.07,40.0,72.73,0.0,0.0,28.18,Klip
Natalspruit @ Alrode ,-26.298,28.144,N7,2014,Jan-Mar,,54.0,15280.0,6.9,0.72,0.09,40.0,90.91,0.0,0.0,32.73,Klip
Natalspruit @ Alrode ,-26.298,28.144,N7,2014,Apr-Jun,,68.0,164680.0,6.9,1.3,0.25,60.0,90.91,0.0,0.0,37.73,Klip
Natalspruit @ Alrode ,-26.298,28.144,N7,2014,Jul-Sep,,58.0,17210.0,7.2,1.8,0.09,60.0,81.82,0.0,0.0,35.46,Klip
