sample_id,year,qtr,quarter,e_coli,compliance_%
B4,2014,1,Jan-Mar,0.0,0.0
B4,2014,2,Apr-Jun,0.0,0.0
B4,2014,3,Jul-Sep,0.0,0.0
B4,2014,4,Oct-Dec,0.0,0.0
B9,2014,1,Jan-Mar,920.0,0.0
B9,2014,2,Apr-Jun,420.0,0.0
B9,2014,3,Jul-Sep,96.0,100.0
B9,2014,4,Oct-Dec,60.0,100.0
B13,2014,1,Jan-Mar,3730.0,0.0
B13,2014,2,Apr-Jun,1160.0,0.0
B13,2014,3,Jul-Sep,13890.0,0.0
B13,2014,4,Oct-Dec,5910.0,0.0
B5,2014,1,Jan-Mar,0.0,0.0
B5,2014,2,Apr-Jun,0.0,0.0
B5,2014,3,Jul-Sep,0.0,0.0
B5,2014,4,Oct-Dec,0.0,0.0
B16,2014,1,Jan-Mar,0.0,0.0
B16,2014,2,Apr-Jun,0.0,0.0
B16,2014,3,Jul-Sep,0.0,0.0
B16,2014,4,Oct-Dec,0.0,0.0
B6,2014,1,Jan-Mar,0.0,0.0
B6,2014,2,Apr-Jun,0.0,0.0
B6,2014,3,Jul-Sep,0.0,0.0
B6,2014,4,Oct-Dec,0.0,0.0
B15,2014,1,Jan-Mar,0.0,0.0
B15,2014,2,Apr-Jun,0.0,0.0
B15,2014,3,Jul-Sep,0.0,0.0
B15,2014,4,Oct-Dec,0.0,0.0
B17,2014,1,Jan-Mar,0.0,0.0
B17,2014,2,Apr-Jun,0.0,0.0
B17,2014,3,Jul-Sep,0.0,0.0
B17,2014,4,Oct-Dec,0.0,0.0
B11,2014,1,Jan-Mar,0.0,0.0
B11,2014,2,Apr-Jun,0.0,0.0
B11,2014,3,Jul-Sep,0.0,0.0
B11,2014,4,Oct-Dec,0.0,0.0
B7,2014,1,Jan-Mar,0.0,0.0
B7,2014,2,Apr-Jun,0.0,0.0
B7,2014,3,Jul-Sep,0.0,0.0
B7,2014,4,Oct-Dec,0.0,0.0
B8,2014,1,Jan-Mar,13060.0,0.0
B8,2014,2,Apr-Jun,24810.0,0.0
B8,2014,3,Jul-Sep,1440.0,0.0
B8,2014,4,Oct-Dec,5770.0,0.0
B14,2014,1,Jan-Mar,0.0,0.0
B14,2014,2,Apr-Jun,0.0,0.0
B14,2014,3,Jul-Sep,0.0,0.0
B14,2014,4,Oct-Dec,0.0,0.0
B12,2014,1,Jan-Mar,0.0,0.0
B12,2014,2,Apr-Jun,0.0,0.0
B12,2014,3,Jul-Sep,0.0,0.0
B12,2014,4,Oct-Dec,0.0,0.0
B10,2014,1,Jan-Mar,7970.0,0.0
B10,2014,2,Apr-Jun,14040.0,0.0
B10,2014,3,Jul-Sep,850.0,0.0
B10,2014,4,Oct-Dec,13990.0,0.0
S1,2014,1,Jan-Mar,1030.0,0.0
S1,2014,2,Apr-Jun,93.0,100.0
S1,2014,3,Jul-Sep,25.0,100.0
S1,2014,4,Oct-Dec,820.0,0.0
S2,2014,1,Jan-Mar,1390.0,0.0
S2,2014,2,Apr-Jun,185.0,100.0
S2,2014,3,Jul-Sep,125.0,100.0
S2,2014,4,Oct-Dec,480.0,0.0
B1,2015,1,Jan-Mar,0.0,0.0
B1,2015,2,Apr-Jun,0.0,0.0
B1,2015,3,Jul-Sep,0.0,0.0
B1,2015,4,Oct-Dec,0.0,0.0
B2,2015,1,Jan-Mar,0.0,0.0
B2,2015,2,Apr-Jun,0.0,0.0
B2,2015,3,Jul-Sep,0.0,0.0
B2,2015,4,Oct-Dec,0.0,0.0
B3,2015,1,Jan-Mar,0.0,0.0
B3,2015,2,Apr-Jun,0.0,0.0
B3,2015,3,Jul-Sep,0.0,0.0
B3,2015,4,Oct-Dec,0.0,0.0
B4,2015,1,Jan-Mar,0.0,0.0
B4,2015,2,Apr-Jun,0.0,0.0
B4,2015,3,Jul-Sep,0.0,0.0
B4,2015,4,Oct-Dec,0.0,0.0
B9,2015,1,Jan-Mar,61.0,100.0
B9,2015,2,Apr-Jun,95.0,100.0
B9,2015,3,Jul-Sep,275.0,100.0
B9,2015,4,Oct-Dec,80.0,100.0
B13,2015,1,Jan-Mar,182290.0,0.0
B13,2015,2,Apr-Jun,11948.0,0.0
B13,2015,3,Jul-Sep,44704.0,0.0
B13,2015,4,Oct-Dec,9435.0,0.0
B5,2015,1,Jan-Mar,0.0,0.0
B5,2015,2,Apr-Jun,0.0,0.0
B5,2015,3,Jul-Sep,0.0,0.0
B5,2015,4,Oct-Dec,0.0,0.0
B16,2015,1,Jan-Mar,0.0,0.0
B16,2015,2,Apr-Jun,0.0,0.0
B16,2015,3,Jul-Sep,0.0,0.0
B16,2015,4,Oct-Dec,0.0,0.0
B6,2015,1,Jan-Mar,0.0,0.0
B6,2015,2,Apr-Jun,0.0,0.0
B6,2015,3,Jul-Sep,0.0,0.0
B6,2015,4,Oct-Dec,0.0,0.0
B15,2015,1,Jan-Mar,0.0,0.0
B15,2015,2,Apr-Jun,0.0,0.0
B15,2015,3,Jul-Sep,0.0,0.0
B15,2015,4,Oct-Dec,0.0,0.0
B17,2015,1,Jan-Mar,0.0,0.0
B17,2015,2,Apr-Jun,0.0,0.0
B17,2015,3,Jul-Sep,0.0,0.0
B17,2015,4,Oct-Dec,0.0,0.0
B11,2015,1,Jan-Mar,0.0,0.0
B11,2015,2,Apr-Jun,0.0,0.0
B11,2015,3,Jul-Sep,0.0,0.0
B11,2015,4,Oct-Dec,0.0,0.0
B7,2015,1,Jan-Mar,0.0,0.0
B7,2015,2,Apr-Jun,0.0,0.0
B7,2015,3,Jul-Sep,0.0,0.0
B7,2015,4,Oct-Dec,0.0,0.0
B8,2015,1,Jan-Mar,25910.0,0.0
B8,2015,2,Apr-Jun,15779.0,0.0
B8,2015,3,Jul-Sep,2655.0,0.0
B8,2015,4,Oct-Dec,1489.0,0.0
B14,2015,1,Jan-Mar,0.0,0.0
B14,2015,2,Apr-Jun,0.0,0.0
B14,2015,3,Jul-Sep,0.0,0.0
B14,2015,4,Oct-Dec,0.0,0.0
B12,2015,1,Jan-Mar,0.0,0.0
B12,2015,2,Apr-Jun,0.0,0.0
B12,2015,3,Jul-Sep,0.0,0.0
B12,2015,4,Oct-Dec,0.0,0.0
B10,2015,1,Jan-Mar,9945.0,0.0
B10,2015,2,Apr-Jun,1063.0,0.0
B10,2015,3,Jul-Sep,803.0,0.0
B10,2015,4,Oct-Dec,1100.0,0.0
S1,2015,1,Jan-Mar,1067.0,0.0
S1,2015,2,Apr-Jun,231.0,100.0
S1,2015,3,Jul-Sep,81.0,100.0
S1,2015,4,Oct-Dec,360.0,100.0
S2,2015,1,Jan-Mar,384.0,100.0
S2,2015,2,Apr-Jun,263.0,100.0
S2,2015,3,Jul-Sep,134.0,100.0
S2,2015,4,Oct-Dec,139.0,100.0
B1,2016,1,Jan-Mar,0.0,0.0
B1,2016,2,Apr-Jun,0.0,0.0
B1,2016,3,Jul-Sep,0.0,0.0
B1,2016,4,Oct-Dec,0.0,0.0
B2,2016,1,Jan-Mar,0.0,0.0
B2,2016,2,Apr-Jun,0.0,0.0
B2,2016,3,Jul-Sep,0.0,0.0
B2,2016,4,Oct-Dec,0.0,0.0
B3,2016,1,Jan-Mar,0.0,0.0
B3,2016,2,Apr-Jun,0.0,0.0
B3,2016,3,Jul-Sep,0.0,0.0
B3,2016,4,Oct-Dec,0.0,0.0
B4,2016,1,Jan-Mar,0.0,0.0
B4,2016,2,Apr-Jun,0.0,0.0
B4,2016,3,Jul-Sep,0.0,0.0
B4,2016,4,Oct-Dec,0.0,0.0
B9,2016,1,Jan-Mar,71.0,100.0
B9,2016,2,Apr-Jun,22.0,100.0
B9,2016,3,Jul-Sep,62.0,100.0
B9,2016,4,Oct-Dec,47.0,100.0
B13,2016,1,Jan-Mar,6598.0,0.0
B13,2016,2,Apr-Jun,7029.0,0.0
B13,2016,3,Jul-Sep,2469.0,0.0
B13,2016,4,Oct-Dec,679.0,0.0
B5,2016,1,Jan-Mar,0.0,0.0
B5,2016,2,Apr-Jun,0.0,0.0
B5,2016,3,Jul-Sep,0.0,0.0
B5,2016,4,Oct-Dec,0.0,0.0
B16,2016,1,Jan-Mar,0.0,0.0
B16,2016,2,Apr-Jun,0.0,0.0
B16,2016,3,Jul-Sep,0.0,0.0
B16,2016,4,Oct-Dec,0.0,0.0
B6,2016,1,Jan-Mar,0.0,0.0
B6,2016,2,Apr-Jun,0.0,0.0
B6,2016,3,Jul-Sep,0.0,0.0
B6,2016,4,Oct-Dec,0.0,0.0
B15,2016,1,Jan-Mar,0.0,0.0
B15,2016,2,Apr-Jun,0.0,0.0
B15,2016,3,Jul-Sep,0.0,0.0
B15,2016,4,Oct-Dec,0.0,0.0
B17,2016,1,Jan-Mar,0.0,0.0
B17,2016,2,Apr-Jun,0.0,0.0
B17,2016,3,Jul-Sep,0.0,0.0
B17,2016,4,Oct-Dec,0.0,0.0
B11,2016,1,Jan-Mar,0.0,0.0
B11,2016,2,Apr-Jun,0.0,0.0
B11,2016,3,Jul-Sep,0.0,0.0
B11,2016,4,Oct-Dec,0.0,0.0
B7,2016,1,Jan-Mar,0.0,0.0
B7,2016,2,Apr-Jun,0.0,0.0
B7,2016,3,Jul-Sep,0.0,0.0
B7,2016,4,Oct-Dec,0.0,0.0
B8,2016,1,Jan-Mar,18161.0,0.0
B8,2016,2,Apr-Jun,19717.0,0.0
B8,2016,3,Jul-Sep,2154.0,0.0
B8,2016,4,Oct-Dec,3256.0,0.0
B14,2016,1,Jan-Mar,0.0,0.0
B14,2016,2,Apr-Jun,0.0,0.0
B14,2016,3,Jul-Sep,0.0,0.0
B14,2016,4,Oct-Dec,0.0,0.0
B12,2016,1,Jan-Mar,0.0,0.0
B12,2016,2,Apr-Jun,0.0,0.0
B12,2016,3,Jul-Sep,0.0,0.0
B12,2016,4,Oct-Dec,0.0,0.0
B10,2016,1,Jan-Mar,10401.0,0.0
B10,2016,2,Apr-Jun,6402.0,0.0
B10,2016,3,Jul-Sep,1850.0,0.0
B10,2016,4,Oct-Dec,6226.0,0.0
S1,2016,1,Jan-Mar,628.0,0.0
S1,2016,2,Apr-Jun,190.0,100.0
S1,2016,3,Jul-Sep,118.0,100.0
S1,2016,4,Oct-Dec,2038.0,0.0
S2,2016,1,Jan-Mar,841.0,0.0
S2,2016,2,Apr-Jun,200.0,100.0
S2,2016,3,Jul-Sep,97.0,100.0
S2,2016,4,Oct-Dec,1421.0,0.0
B1,2017,1,Jan-Mar,0.0,0.0
B1,2017,2,Apr-Jun,0.0,0.0
B1,2017,3,Jul-Sep,0.0,0.0
B1,2017,4,Oct-Dec,0.0,0.0
B2,2017,1,Jan-Mar,0.0,0.0
B2,2017,2,Apr-Jun,0.0,0.0
B2,2017,3,Jul-Sep,0.0,0.0
B2,2017,4,Oct-Dec,0.0,0.0
B3,2017,1,Jan-Mar,0.0,0.0
B3,2017,2,Apr-Jun,0.0,0.0
B3,2017,3,Jul-Sep,0.0,0.0
B3,2017,4,Oct-Dec,0.0,0.0
B4,2017,1,Jan-Mar,0.0,0.0
B4,2017,2,Apr-Jun,0.0,0.0
B4,2017,3,Jul-Sep,0.0,0.0
B4,2017,4,Oct-Dec,0.0,0.0
B9,2017,1,Jan-Mar,6548.0,0.0
B9,2017,2,Apr-Jun,25.0,100.0
B9,2017,3,Jul-Sep,205.0,100.0
B9,2017,4,Oct-Dec,377.0,100.0
B13,2017,1,Jan-Mar,699.0,0.0
B13,2017,2,Apr-Jun,29435.0,0.0
B13,2017,3,Jul-Sep,436.0,0.0
B13,2017,4,Oct-Dec,9128.0,0.0
B5,2017,1,Jan-Mar,0.0,0.0
B5,2017,2,Apr-Jun,0.0,0.0
B5,2017,3,Jul-Sep,0.0,0.0
B5,2017,4,Oct-Dec,0.0,0.0
B16,2017,1,Jan-Mar,0.0,0.0
B16,2017,2,Apr-Jun,0.0,0.0
B16,2017,3,Jul-Sep,0.0,0.0
B16,2017,4,Oct-Dec,0.0,0.0
B6,2017,1,Jan-Mar,0.0,0.0
B6,2017,2,Apr-Jun,0.0,0.0
B6,2017,3,Jul-Sep,0.0,0.0
B6,2017,4,Oct-Dec,0.0,0.0
B15,2017,1,Jan-Mar,0.0,0.0
B15,2017,2,Apr-Jun,0.0,0.0
B15,2017,3,Jul-Sep,0.0,0.0
B15,2017,4,Oct-Dec,0.0,0.0
B17,2017,1,Jan-Mar,0.0,0.0
B17,2017,2,Apr-Jun,0.0,0.0
B17,2017,3,Jul-Sep,0.0,0.0
B17,2017,4,Oct-Dec,0.0,0.0
B11,2017,1,Jan-Mar,0.0,0.0
B11,2017,2,Apr-Jun,0.0,0.0
B11,2017,3,Jul-Sep,0.0,0.0
B11,2017,4,Oct-Dec,0.0,0.0
B7,2017,1,Jan-Mar,0.0,0.0
B7,2017,2,Apr-Jun,0.0,0.0
B7,2017,3,Jul-Sep,0.0,0.0
B7,2017,4,Oct-Dec,0.0,0.0
B8,2017,1,Jan-Mar,1174.0,0.0
B8,2017,2,Apr-Jun,960.0,0.0
B8,2017,3,Jul-Sep,8657.0,0.0
B8,2017,4,Oct-Dec,3844.0,0.0
B14,2017,1,Jan-Mar,0.0,0.0
B14,2017,2,Apr-Jun,0.0,0.0
B14,2017,3,Jul-Sep,0.0,0.0
B14,2017,4,Oct-Dec,0.0,0.0
B12,2017,1,Jan-Mar,0.0,0.0
B12,2017,2,Apr-Jun,0.0,0.0
B12,2017,3,Jul-Sep,0.0,0.0
B12,2017,4,Oct-Dec,0.0,0.0
B10,2017,1,Jan-Mar,6687.0,0.0
B10,2017,2,Apr-Jun,9645.0,0.0
B10,2017,3,Jul-Sep,943.0,0.0
B10,2017,4,Oct-Dec,3041.0,0.0
S1,2017,1,Jan-Mar,769.0,0.0
S1,2017,2,Apr-Jun,206.0,100.0
S1,2017,3,Jul-Sep,36.0,100.0
S1,2017,4,Oct-Dec,267.0,100.0
S2,2017,1,Jan-Mar,10606.0,0.0
S2,2017,2,Apr-Jun,258.0,100.0
S2,2017,3,Jul-Sep,126.0,100.0
S2,2017,4,Oct-Dec,330.0,100.0
B1,2018,1,Jan-Mar,0.0,0.0
B1,2018,2,Apr-Jun,0.0,0.0
B1,2018,3,Jul-Sep,0.0,0.0
B1,2018,4,Oct-Dec,0.0,0.0
B2,2018,1,Jan-Mar,0.0,0.0
B2,2018,2,Apr-Jun,0.0,0.0
B2,2018,3,Jul-Sep,0.0,0.0
B2,2018,4,Oct-Dec,0.0,0.0
B3,2018,1,Jan-Mar,0.0,0.0
B3,2018,2,Apr-Jun,0.0,0.0
B3,2018,3,Jul-Sep,0.0,0.0
B3,2018,4,Oct-Dec,0.0,0.0
B4,2018,1,Jan-Mar,0.0,0.0
B4,2018,2,Apr-Jun,0.0,0.0
B4,2018,3,Jul-Sep,0.0,0.0
B4,2018,4,Oct-Dec,0.0,0.0
B9,2018,1,Jan-Mar,161.0,100.0
B9,2018,2,Apr-Jun,96.0,100.0
B9,2018,3,Jul-Sep,1653.0,0.0
B9,2018,4,Oct-Dec,1151.0,0.0
B13,2018,1,Jan-Mar,249.0,100.0
B13,2018,2,Apr-Jun,800.0,0.0
B13,2018,3,Jul-Sep,2134.0,0.0
B13,2018,4,Oct-Dec,539.0,0.0
B5,2018,1,Jan-Mar,0.0,0.0
B5,2018,2,Apr-Jun,0.0,0.0
B5,2018,3,Jul-Sep,0.0,0.0
B5,2018,4,Oct-Dec,0.0,0.0
B16,2018,1,Jan-Mar,0.0,0.0
B16,2018,2,Apr-Jun,0.0,0.0
B16,2018,3,Jul-Sep,0.0,0.0
B16,2018,4,Oct-Dec,0.0,0.0
B6,2018,1,Jan-Mar,0.0,0.0
B6,2018,2,Apr-Jun,0.0,0.0
B6,2018,3,Jul-Sep,0.0,0.0
B6,2018,4,Oct-Dec,0.0,0.0
B15,2018,1,Jan-Mar,0.0,0.0
B15,2018,2,Apr-Jun,0.0,0.0
B15,2018,3,Jul-Sep,0.0,0.0
B15,2018,4,Oct-Dec,0.0,0.0
B17,2018,1,Jan-Mar,0.0,0.0
B17,2018,2,Apr-Jun,0.0,0.0
B17,2018,3,Jul-Sep,0.0,0.0
B17,2018,4,Oct-Dec,0.0,0.0
B11,2018,1,Jan-Mar,0.0,0.0
B11,2018,2,Apr-Jun,0.0,0.0
B11,2018,3,Jul-Sep,0.0,0.0
B11,2018,4,Oct-Dec,0.0,0.0
B7,2018,1,Jan-Mar,0.0,0.0
B7,2018,2,Apr-Jun,0.0,0.0
B7,2018,3,Jul-Sep,0.0,0.0
B7,2018,4,Oct-Dec,0.0,0.0
B8,2018,1,Jan-Mar,2544.0,0.0
B8,2018,2,Apr-Jun,4422.0,0.0
B8,2018,3,Jul-Sep,3108.0,0.0
B8,2018,4,Oct-Dec,7127.0,0.0
B14,2018,1,Jan-Mar,0.0,0.0
B14,2018,2,Apr-Jun,0.0,0.0
B14,2018,3,Jul-Sep,0.0,0.0
B14,2018,4,Oct-Dec,0.0,0.0
B12,2018,1,Jan-Mar,0.0,0.0
B12,2018,2,Apr-Jun,0.0,0.0
B12,2018,3,Jul-Sep,0.0,0.0
B12,2018,4,Oct-Dec,0.0,0.0
B10,2018,1,Jan-Mar,8839.0,0.0
B10,2018,2,Apr-Jun,8466.0,0.0
B10,2018,3,Jul-Sep,2639.0,0.0
B10,2018,4,Oct-Dec,1437.0,0.0
S1,2018,1,Jan-Mar,714.0,0.0
S1,2018,2,Apr-Jun,177.0,100.0
S1,2018,3,Jul-Sep,28.0,100.0
S1,2018,4,Oct-Dec,334.0,100.0
S2,2018,1,Jan-Mar,754.0,0.0
S2,2018,2,Apr-Jun,343.0,100.0
S2,2018,3,Jul-Sep,91.0,100.0
S2,2018,4,Oct-Dec,144.0,100.0
B1,2019,1,Jan-Mar,0.0,0.0
B1,2019,2,Apr-Jun,0.0,0.0
B1,2019,3,Jul-Sep,0.0,0.0
B1,2019,4,Oct-Dec,0.0,0.0
B2,2019,1,Jan-Mar,0.0,0.0
B2,2019,2,Apr-Jun,0.0,0.0
B2,2019,3,Jul-Sep,0.0,0.0
B2,2019,4,Oct-Dec,0.0,0.0
B3,2019,1,Jan-Mar,0.0,0.0
B3,2019,2,Apr-Jun,0.0,0.0
B3,2019,3,Jul-Sep,0.0,0.0
B3,2019,4,Oct-Dec,0.0,0.0
B4,2019,1,Jan-Mar,0.0,0.0
B4,2019,2,Apr-Jun,0.0,0.0
B4,2019,3,Jul-Sep,0.0,0.0
B4,2019,4,Oct-Dec,0.0,0.0
B13,2019,1,Jan-Mar,2680.0,0.0
B13,2019,2,Apr-Jun,48.0,100.0
B13,2019,3,Jul-Sep,155.0,100.0
B13,2019,4,Oct-Dec,25151.0,0.0
B5,2019,1,Jan-Mar,0.0,0.0
B5,2019,2,Apr-Jun,0.0,0.0
B5,2019,3,Jul-Sep,0.0,0.0
B5,2019,4,Oct-Dec,0.0,0.0
B16,2019,1,Jan-Mar,0.0,0.0
B16,2019,2,Apr-Jun,0.0,0.0
B16,2019,3,Jul-Sep,0.0,0.0
B16,2019,4,Oct-Dec,0.0,0.0
B6,2019,1,Jan-Mar,0.0,0.0
B6,2019,2,Apr-Jun,0.0,0.0
B6,2019,3,Jul-Sep,0.0,0.0
B6,2019,4,Oct-Dec,0.0,0.0
B15,2019,1,Jan-Mar,0.0,0.0
B15,2019,2,Apr-Jun,0.0,0.0
B15,2019,3,Jul-Sep,0.0,0.0
B15,2019,4,Oct-Dec,0.0,0.0
B17,2019,1,Jan-Mar,0.0,0.0
B17,2019,2,Apr-Jun,0.0,0.0
B17,2019,3,Jul-Sep,0.0,0.0
B17,2019,4,Oct-Dec,0.0,0.0
B11,2019,1,Jan-Mar,0.0,0.0
B11,2019,2,Apr-Jun,0.0,0.0
B11,2019,3,Jul-Sep,0.0,0.0
B11,2019,4,Oct-Dec,0.0,0.0
B7,2019,1,Jan-Mar,0.0,0.0
B7,2019,2,Apr-Jun,0.0,0.0
B7,2019,3,Jul-Sep,0.0,0.0
B7,2019,4,Oct-Dec,0.0,0.0
B8,2019,1,Jan-Mar,9175.0,0.0
B8,2019,2,Apr-Jun,2114.0,0.0
B8,2019,3,Jul-Sep,2804.0,0.0
B8,2019,4,Oct-Dec,655.0,0.0
B14,2019,1,Jan-Mar,0.0,0.0
B14,2019,2,Apr-Jun,0.0,0.0
B14,2019,3,Jul-Sep,0.0,0.0
B14,2019,4,Oct-Dec,0.0,0.0
B12,2019,1,Jan-Mar,0.0,0.0
B12,2019,2,Apr-Jun,0.0,0.0
B12,2019,3,Jul-Sep,0.0,0.0
B12,2019,4,Oct-Dec,0.0,0.0
B10,2019,1,Jan-Mar,5509.0,0.0
B10,2019,2,Apr-Jun,1041.0,0.0
B10,2019,3,Jul-Sep,1387.0,0.0
B10,2019,4,Oct-Dec,5702.0,0.0
S1,2019,1,Jan-Mar,1958.0,0.0
S1,2019,2,Apr-Jun,188.0,100.0
S1,2019,3,Jul-Sep,36.0,100.0
S1,2019,4,Oct-Dec,3602.0,0.0
S2,2019,1,Jan-Mar,407.0,0.0
S2,2019,2,Apr-Jun,389.0,100.0
S2,2019,3,Jul-Sep,165.0,100.0
S2,2019,4,Oct-Dec,603.0,0.0
B1,2020,1,Jan-Mar,0.0,0.0
B1,2020,2,Apr-Jun,0.0,0.0
B1,2020,3,Jul-Sep,0.0,0.0
B1,2020,4,Oct-Dec,0.0,0.0
B2,2020,1,Jan-Mar,0.0,0.0
B2,2020,2,Apr-Jun,0.0,0.0
B2,2020,3,Jul-Sep,0.0,0.0
B2,2020,4,Oct-Dec,0.0,0.0
B3,2020,1,Jan-Mar,0.0,0.0
B3,2020,2,Apr-Jun,0.0,0.0
B3,2020,3,Jul-Sep,0.0,0.0
B3,2020,4,Oct-Dec,0.0,0.0
B4,2020,1,Jan-Mar,0.0,0.0
B4,2020,2,Apr-Jun,0.0,0.0
B4,2020,3,Jul-Sep,0.0,0.0
B4,2020,4,Oct-Dec,0.0,0.0
B13,2020,1,Jan-Mar,554.0,0.0
B13,2020,2,Apr-Jun,0.0,0.0
B13,2020,3,Jul-Sep,203.0,100.0
B13,2020,4,Oct-Dec,4025.0,0.0
B5,2020,1,Jan-Mar,0.0,0.0
B5,2020,2,Apr-Jun,0.0,0.0
B5,2020,3,Jul-Sep,0.0,0.0
B5,2020,4,Oct-Dec,0.0,0.0
B16,2020,1,Jan-Mar,0.0,0.0
B16,2020,2,Apr-Jun,0.0,0.0
B16,2020,3,Jul-Sep,0.0,0.0
B16,2020,4,Oct-Dec,0.0,0.0
B6,2020,1,Jan-Mar,0.0,0.0
B6,2020,2,Apr-Jun,0.0,0.0
B6,2020,3,Jul-Sep,0.0,0.0
B6,2020,4,Oct-Dec,0.0,0.0
B15,2020,1,Jan-Mar,0.0,0.0
B15,2020,2,Apr-Jun,0.0,0.0
B15,2020,3,Jul-Sep,0.0,0.0
B15,2020,4,Oct-Dec,0.0,0.0
B17,2020,1,Jan-Mar,0.0,0.0
B17,2020,2,Apr-Jun,0.0,0.0
B17,2020,3,Jul-Sep,0.0,0.0
B17,2020,4,Oct-Dec,0.0,0.0
B11,2020,1,Jan-Mar,0.0,0.0
B11,2020,2,Apr-Jun,0.0,0.0
B11,2020,3,Jul-Sep,0.0,0.0
B11,2020,4,Oct-Dec,0.0,0.0
B7,2020,1,Jan-Mar,0.0,0.0
B7,2020,2,Apr-Jun,0.0,0.0
B7,2020,3,Jul-Sep,0.0,0.0
B7,2020,4,Oct-Dec,0.0,0.0
B8,2020,1,Jan-Mar,6608.0,0.0
