sample_id,year,qtr,quarter,conductivity,dissolved_o2,ph,suspended_solids,cod,compliance_%
K5,2013,2,Apr-Jun,49.0,5.7,7.2,0,0.0,60.0
K5,2013,3,Jul-Sep,58.0,5.8,7.5,0,0.0,60.0
K5,2013,4,Oct-Dec,58.0,5.1,7.2,0,0.0,60.0
K6,2013,1,Jan-Mar,50.0,4.2,7.3,0,0.0,40.0
K6,2013,2,Apr-Jun,54.0,5.8,7.5,0,0.0,60.0
K6,2013,3,Jul-Sep,52.0,5.2,7.5,0,0.0,60.0
K6,2013,4,Oct-Dec,56.0,2.4,7.5,0,0.0,40.0
E17,2013,1,Jan-Mar,72.0,4.6,6.9,0,0.0,40.0
E17,2013,2,Apr-Jun,94.0,4.5,6.9,0,0.0,40.0
E17,2013,3,Jul-Sep,94.0,6.0,7.4,0,0.0,60.0
E17,2013,4,Oct-Dec,88.0,4.9,7.1,0,0.0,40.0
E2,2013,1,Jan-Mar,220.0,6.8,8.2,0,0.0,40.0
E2,2013,2,Apr-Jun,135.0,5.4,6.5,0,0.0,40.0
E2,2013,3,Jul-Sep,77.0,4.5,7.4,0,0.0,40.0
E2,2013,4,Oct-Dec,110.0,2.4,7.3,0,0.0,40.0
E7,2013,1,Jan-Mar,100.0,5.7,6.8,0,0.0,60.0
E7,2013,2,Apr-Jun,110.0,5.2,6.1,0,0.0,40.0
E7,2013,3,Jul-Sep,105.0,5.8,7.2,0,0.0,60.0
E7,2013,4,Oct-Dec,105.0,5.0,6.9,0,0.0,60.0
E8,2013,1,Jan-Mar,57.0,8.4,7.2,0,0.0,60.0
E8,2013,2,Apr-Jun,69.0,7.0,7.1,0,0.0,60.0
E8,2013,3,Jul-Sep,90.0,8.4,7.5,0,0.0,60.0
E8,2013,4,Oct-Dec,70.0,6.8,7.3,0,0.0,60.0
N4,2013,1,Jan-Mar,74.0,6.9,4.7,0,0.0,40.0
N4,2013,2,Apr-Jun,100.0,6.9,5.0,0,0.0,40.0
N4,2013,3,Jul-Sep,130.0,6.8,4.4,0,0.0,20.0
N4,2013,4,Oct-Dec,115.0,6.6,3.7,0,0.0,40.0
N7,2013,1,Jan-Mar,58.0,6.8,6.5,0,0.0,60.0
N7,2013,2,Apr-Jun,72.0,4.9,6.7,0,0.0,40.0
N7,2013,3,Jul-Sep,80.0,5.2,7.0,0,0.0,60.0
N7,2013,4,Oct-Dec,68.0,4.7,6.7,0,0.0,40.0
N8,2013,1,Jan-Mar,72.0,5.9,7.1,10,17.0,100.0
N8,2013,2,Apr-Jun,68.0,6.0,7.2,10,14.0,100.0
N8,2013,3,Jul-Sep,79.0,6.8,7.6,10,26.0,100.0
N8,2013,4,Oct-Dec,78.0,4.9,7.4,13,25.0,80.0
R1,2013,1,Jan-Mar,120.0,6.9,6.8,0,0.0,60.0
R1,2013,2,Apr-Jun,150.0,6.1,6.6,0,0.0,40.0
R1,2013,3,Jul-Sep,0.0,0.0,0.0,0,0.0,0.0
R1,2013,4,Oct-Dec,150.0,0.5,7.8,0,0.0,20.0
R2,2013,1,Jan-Mar,36.0,5.6,7.3,0,0.0,60.0
R2,2013,2,Apr-Jun,44.0,5.2,7.4,0,0.0,60.0
R2,2013,3,Jul-Sep,49.0,4.9,7.7,0,0.0,40.0
R2,2013,4,Oct-Dec,53.0,4.9,7.7,0,0.0,40.0
R3,2013,1,Jan-Mar,48.0,7.1,7.4,0,0.0,60.0
R3,2013,2,Apr-Jun,52.0,5.6,7.4,0,0.0,60.0
R3,2013,3,Jul-Sep,35.0,6.9,7.8,0,0.0,60.0
R3,2013,4,Oct-Dec,35.0,4.3,7.3,0,0.0,40.0
R4,2013,1,Jan-Mar,120.0,5.9,7.6,0,0.0,60.0
R4,2013,2,Apr-Jun,140.0,6.4,7.4,0,0.0,40.0
R4,2013,3,Jul-Sep,185.0,5.7,7.8,0,0.0,40.0
R4,2013,4,Oct-Dec,165.0,3.3,7.7,0,0.0,20.0
R5,2013,1,Jan-Mar,90.0,5.6,7.6,0,0.0,60.0
R5,2013,2,Apr-Jun,100.0,5.9,6.7,0,0.0,60.0
R5,2013,3,Jul-Sep,135.0,6.6,8.1,0,0.0,40.0
R5,2013,4,Oct-Dec,125.0,3.9,7.7,0,0.0,20.0
R6,2013,1,Jan-Mar,74.0,5.1,7.4,19,15.0,100.0
R6,2013,2,Apr-Jun,72.0,4.9,7.2,11,14.0,80.0
R6,2013,3,Jul-Sep,83.0,5.4,7.5,10,22.0,100.0
R6,2013,4,Oct-Dec,80.0,4.0,7.3,24,24.0,80.0
K1,2014,1,Jan-Mar,50.0,5.5,7.5,0,0.0,60.0
K1,2014,2,Apr-Jun,54.0,6.8,7.5,0,0.0,60.0
K1,2014,3,Jul-Sep,57.0,4.9,7.5,0,0.0,40.0
K1,2014,4,Oct-Dec,50.0,5.0,7.3,0,0.0,60.0
K10,2014,1,Jan-Mar,49.0,5.3,7.6,0,0.0,60.0
K10,2014,2,Apr-Jun,59.0,8.8,7.6,0,0.0,60.0
K10,2014,3,Jul-Sep,58.0,5.4,7.5,0,0.0,60.0
K10,2014,4,Oct-Dec,49.0,5.6,7.3,0,0.0,60.0
K11,2014,1,Jan-Mar,31.0,6.2,7.4,0,0.0,60.0
K11,2014,2,Apr-Jun,41.0,9.6,7.4,0,0.0,60.0
K11,2014,3,Jul-Sep,44.0,5.3,7.6,0,0.0,60.0
K11,2014,4,Oct-Dec,35.0,5.9,7.4,0,0.0,60.0
K14,2014,1,Jan-Mar,22.0,5.8,7.1,0,0.0,60.0
K14,2014,2,Apr-Jun,18.0,9.1,7.0,0,0.0,60.0
K14,2014,3,Jul-Sep,17.0,6.2,7.2,0,0.0,60.0
K14,2014,4,Oct-Dec,20.0,4.4,7.3,0,0.0,40.0
K18,2014,1,Jan-Mar,59.0,4.8,7.6,0,0.0,40.0
K18,2014,2,Apr-Jun,65.0,8.2,7.6,0,0.0,60.0
K18,2014,3,Jul-Sep,76.0,5.5,7.5,0,0.0,60.0
K18,2014,4,Oct-Dec,68.0,4.0,7.4,0,0.0,40.0
K19,2014,1,Jan-Mar,59.0,5.8,7.7,88,22.0,80.0
K19,2014,2,Apr-Jun,66.0,7.4,7.6,26,22.0,100.0
K19,2014,3,Jul-Sep,77.0,5.3,7.6,16,28.0,100.0
K19,2014,4,Oct-Dec,72.0,4.4,7.5,64,28.0,60.0
K21,2014,1,Jan-Mar,51.0,6.1,7.5,65,19.0,80.0
K21,2014,2,Apr-Jun,55.0,7.5,7.6,18,21.0,100.0
K21,2014,3,Jul-Sep,57.0,5.0,7.5,11,26.0,100.0
K21,2014,4,Oct-Dec,54.0,4.8,7.4,45,26.0,80.0
K25,2014,1,Jan-Mar,57.0,4.6,7.7,0,0.0,40.0
K25,2014,2,Apr-Jun,66.0,7.4,7.6,0,0.0,60.0
K25,2014,3,Jul-Sep,81.0,5.6,7.5,0,0.0,60.0
K25,2014,4,Oct-Dec,64.0,4.2,7.3,0,0.0,40.0
K3,2014,1,Jan-Mar,52.0,6.6,7.5,0,0.0,60.0
K3,2014,2,Apr-Jun,54.0,7.8,7.4,0,0.0,60.0
K3,2014,3,Jul-Sep,51.0,5.5,7.5,0,0.0,60.0
K3,2014,4,Oct-Dec,49.0,3.6,7.4,0,0.0,40.0
K4,2014,1,Jan-Mar,48.0,6.3,7.6,0,0.0,60.0
K4,2014,2,Apr-Jun,53.0,8.2,7.6,0,0.0,60.0
K4,2014,3,Jul-Sep,55.0,5.9,7.7,0,0.0,60.0
K4,2014,4,Oct-Dec,48.0,5.4,7.4,0,0.0,60.0
K5,2014,1,Jan-Mar,59.0,5.3,7.0,0,0.0,60.0
K5,2014,2,Apr-Jun,60.0,8.0,7.4,0,0.0,60.0
K5,2014,3,Jul-Sep,59.0,5.3,7.4,0,0.0,60.0
K5,2014,4,Oct-Dec,51.0,5.5,7.2,0,0.0,60.0
K6,2014,1,Jan-Mar,50.0,3.1,7.6,0,0.0,40.0
K6,2014,2,Apr-Jun,54.0,6.3,7.4,0,0.0,60.0
K6,2014,3,Jul-Sep,56.0,4.4,7.5,0,0.0,40.0
K6,2014,4,Oct-Dec,55.0,2.9,7.5,0,0.0,40.0
E17,2014,1,Jan-Mar,72.0,2.3,7.2,0,0.0,40.0
E17,2014,2,Apr-Jun,96.0,4.2,7.2,0,0.0,40.0
E17,2014,3,Jul-Sep,260.0,3.2,7.2,0,0.0,20.0
E17,2014,4,Oct-Dec,255.0,4.8,7.3,0,0.0,20.0
E2,2014,1,Jan-Mar,32.0,3.5,7.0,0,0.0,40.0
E2,2014,2,Apr-Jun,29.0,7.6,7.0,0,0.0,60.0
E2,2014,3,Jul-Sep,85.0,4.1,7.3,0,0.0,40.0
E2,2014,4,Oct-Dec,105.0,3.0,7.2,0,0.0,40.0
E7,2014,1,Jan-Mar,73.0,4.4,7.1,0,0.0,40.0
E7,2014,2,Apr-Jun,91.0,5.8,7.1,0,0.0,60.0
E7,2014,3,Jul-Sep,295.0,6.0,7.0,0,0.0,40.0
E7,2014,4,Oct-Dec,295.0,3.9,7.1,0,0.0,20.0
E8,2014,1,Jan-Mar,68.0,7.2,7.6,0,0.0,60.0
E8,2014,2,Apr-Jun,110.0,9.6,7.5,0,0.0,60.0
E8,2014,3,Jul-Sep,120.0,6.5,7.8,0,0.0,60.0
E8,2014,4,Oct-Dec,115.0,5.4,7.8,0,0.0,60.0
N4,2014,1,Jan-Mar,105.0,6.1,4.4,0,0.0,40.0
N4,2014,2,Apr-Jun,115.0,9.1,4.2,0,0.0,40.0
N4,2014,3,Jul-Sep,130.0,5.8,4.7,0,0.0,20.0
N4,2014,4,Oct-Dec,105.0,6.2,4.3,0,0.0,40.0
N7,2014,1,Jan-Mar,54.0,4.2,6.9,0,0.0,40.0
N7,2014,2,Apr-Jun,68.0,6.2,6.9,0,0.0,60.0
N7,2014,3,Jul-Sep,58.0,5.0,7.2,0,0.0,60.0
N7,2014,4,Oct-Dec,49.0,4.5,7.1,0,0.0,40.0
N8,2014,1,Jan-Mar,63.0,5.4,7.6,14,18.0,100.0
N8,2014,2,Apr-Jun,80.0,7.6,7.5,13,20.0,100.0
N8,2014,3,Jul-Sep,125.0,4.8,7.6,10,24.0,60.0
N8,2014,4,Oct-Dec,110.0,4.7,7.6,11,22.0,80.0
R1,2014,1,Jan-Mar,140.0,4.5,7.1,0,0.0,20.0
R1,2014,2,Apr-Jun,190.0,8.0,7.0,0,0.0,40.0
R1,2014,3,Jul-Sep,220.0,7.4,7.2,0,0.0,40.0
R1,2014,4,Oct-Dec,0.0,0.0,0.0,0,0.0,0.0
R2,2014,1,Jan-Mar,35.0,4.7,7.6,0,0.0,40.0
R2,2014,2,Apr-Jun,54.0,6.7,7.4,0,0.0,60.0
R2,2014,3,Jul-Sep,49.0,7.9,7.9,0,0.0,60.0
R2,2014,4,Oct-Dec,34.0,3.8,7.4,0,0.0,40.0
R3,2014,1,Jan-Mar,53.0,6.2,7.9,0,0.0,60.0
R3,2014,2,Apr-Jun,46.0,8.1,7.7,0,0.0,60.0
R3,2014,3,Jul-Sep,30.0,7.3,7.6,0,0.0,60.0
R3,2014,4,Oct-Dec,36.0,5.0,7.6,0,0.0,60.0
R4,2014,1,Jan-Mar,145.0,3.8,7.7,0,0.0,20.0
R4,2014,2,Apr-Jun,165.0,7.1,7.7,0,0.0,40.0
R4,2014,3,Jul-Sep,190.0,5.3,7.9,0,0.0,40.0
R4,2014,4,Oct-Dec,215.0,4.0,7.5,0,0.0,20.0
R5,2014,1,Jan-Mar,125.0,4.0,7.9,0,0.0,20.0
R5,2014,2,Apr-Jun,140.0,6.4,8.0,0,0.0,40.0
R5,2014,3,Jul-Sep,145.0,5.6,7.9,0,0.0,40.0
R5,2014,4,Oct-Dec,150.0,3.4,7.8,0,0.0,20.0
R6,2014,1,Jan-Mar,70.0,5.1,7.8,22,16.0,100.0
R6,2014,2,Apr-Jun,86.0,7.9,7.6,12,16.0,100.0
R6,2014,3,Jul-Sep,125.0,5.0,7.6,10,22.0,80.0
R6,2014,4,Oct-Dec,115.0,4.1,7.5,21,22.0,80.0
K1,2015,1,Jan-Mar,50.0,3.8,7.4,0,0.0,40.0
K1,2015,2,Apr-Jun,54.0,4.2,7.5,0,0.0,40.0
K1,2015,3,Jul-Sep,57.0,4.9,7.4,0,0.0,40.0
K1,2015,4,Oct-Dec,54.0,6.0,7.2,0,0.0,60.0
K10,2015,1,Jan-Mar,48.0,3.5,7.5,0,0.0,40.0
K10,2015,2,Apr-Jun,53.0,2.7,7.4,0,0.0,40.0
K10,2015,3,Jul-Sep,57.0,3.8,7.4,0,0.0,40.0
K10,2015,4,Oct-Dec,53.0,6.8,7.4,0,0.0,60.0
K11,2015,1,Jan-Mar,33.0,3.9,7.4,0,0.0,40.0
K11,2015,2,Apr-Jun,34.0,4.0,7.4,0,0.0,40.0
K11,2015,3,Jul-Sep,37.0,7.0,7.3,0,0.0,60.0
K11,2015,4,Oct-Dec,30.0,10.5,7.7,0,0.0,60.0
K14,2015,1,Jan-Mar,23.0,3.2,7.3,0,0.0,40.0
K14,2015,2,Apr-Jun,27.0,5.1,7.2,0,0.0,60.0
K14,2015,3,Jul-Sep,23.0,5.6,7.4,0,0.0,60.0
K14,2015,4,Oct-Dec,27.0,9.0,7.1,0,0.0,60.0
K18,2015,1,Jan-Mar,76.0,2.6,7.6,0,0.0,40.0
K18,2015,2,Apr-Jun,88.0,5.1,7.5,0,0.0,60.0
K18,2015,3,Jul-Sep,86.0,6.1,7.4,0,0.0,60.0
K18,2015,4,Oct-Dec,73.0,5.7,7.6,0,0.0,60.0
K19,2015,1,Jan-Mar,73.0,4.7,7.6,44,22.0,80.0
K19,2015,2,Apr-Jun,88.0,5.4,7.6,16,22.0,100.0
K19,2015,3,Jul-Sep,78.0,7.7,7.5,12,25.0,100.0
K19,2015,4,Oct-Dec,72.0,7.9,7.5,17,23.0,100.0
K21,2015,1,Jan-Mar,50.0,4.3,7.4,34,22.0,80.0
K21,2015,2,Apr-Jun,53.0,5.7,7.3,15,21.0,100.0
K21,2015,3,Jul-Sep,56.0,6.6,7.3,20,25.0,100.0
K21,2015,4,Oct-Dec,53.0,7.8,7.3,26,24.0,100.0
K25,2015,1,Jan-Mar,74.0,3.9,7.5,0,0.0,40.0
K25,2015,2,Apr-Jun,88.0,3.5,7.6,0,0.0,40.0
K25,2015,3,Jul-Sep,84.0,5.0,7.5,0,0.0,60.0
K25,2015,4,Oct-Dec,81.0,5.0,7.5,0,0.0,60.0
K3,2015,1,Jan-Mar,50.0,3.8,7.5,0,0.0,40.0
K3,2015,2,Apr-Jun,55.0,2.8,7.6,0,0.0,40.0
K3,2015,3,Jul-Sep,55.0,4.6,7.5,0,0.0,40.0
K3,2015,4,Oct-Dec,57.0,6.5,7.3,0,0.0,60.0
K4,2015,1,Jan-Mar,49.0,4.0,7.5,0,0.0,40.0
K4,2015,2,Apr-Jun,55.0,2.8,7.5,0,0.0,40.0
K4,2015,3,Jul-Sep,56.0,4.3,7.4,0,0.0,40.0
K4,2015,4,Oct-Dec,54.0,7.7,7.4,0,0.0,60.0
K5,2015,1,Jan-Mar,47.0,3.2,7.2,0,0.0,40.0
K5,2015,2,Apr-Jun,54.0,2.0,7.3,0,0.0,40.0
K5,2015,3,Jul-Sep,59.0,5.3,7.4,0,0.0,60.0
K5,2015,4,Oct-Dec,54.0,8.0,7.4,0,0.0,60.0
K6,2015,1,Jan-Mar,51.0,3.3,7.5,0,0.0,40.0
K6,2015,2,Apr-Jun,59.0,3.2,7.5,0,0.0,40.0
K6,2015,3,Jul-Sep,61.0,5.1,7.6,0,0.0,60.0
K6,2015,4,Oct-Dec,69.0,5.3,7.6,0,0.0,60.0
E17,2015,1,Jan-Mar,234.0,3.3,7.1,0,0.0,20.0
E17,2015,2,Apr-Jun,343.0,2.3,6.9,0,0.0,20.0
E17,2015,3,Jul-Sep,341.0,2.3,6.9,0,0.0,20.0
E17,2015,4,Oct-Dec,218.0,1.6,7.0,0,0.0,20.0
E2,2015,1,Jan-Mar,115.0,4.9,7.6,0,0.0,40.0
E2,2015,2,Apr-Jun,38.0,6.3,7.4,0,0.0,60.0
E2,2015,3,Jul-Sep,74.0,6.8,7.4,0,0.0,60.0
E2,2015,4,Oct-Dec,33.0,1.7,7.1,0,0.0,40.0
E7,2015,1,Jan-Mar,320.0,5.5,7.0,0,0.0,40.0
E7,2015,2,Apr-Jun,352.0,3.5,6.8,0,0.0,20.0
E7,2015,3,Jul-Sep,353.0,5.7,6.8,0,0.0,40.0
E7,2015,4,Oct-Dec,176.0,4.5,7.1,0,0.0,20.0
E8,2015,1,Jan-Mar,68.0,4.2,7.7,0,0.0,40.0
E8,2015,2,Apr-Jun,130.0,5.5,7.8,0,0.0,40.0
E8,2015,3,Jul-Sep,272.0,5.4,7.7,0,0.0,40.0
E8,2015,4,Oct-Dec,113.0,11.4,7.5,0,0.0,60.0
N4,2015,1,Jan-Mar,94.0,6.3,5.1,0,0.0,40.0
N4,2015,2,Apr-Jun,101.0,7.1,6.6,0,0.0,60.0
N4,2015,3,Jul-Sep,118.0,6.6,6.2,0,0.0,40.0
N4,2015,4,Oct-Dec,167.0,9.4,4.7,0,0.0,20.0
N7,2015,1,Jan-Mar,61.0,3.4,7.0,0,0.0,40.0
N7,2015,2,Apr-Jun,61.0,3.6,7.2,0,0.0,40.0
N7,2015,3,Jul-Sep,64.0,5.0,7.3,0,0.0,60.0
N7,2015,4,Oct-Dec,58.0,5.6,6.9,0,0.0,60.0
N8,2015,1,Jan-Mar,108.0,4.1,7.6,20,19.0,80.0
N8,2015,2,Apr-Jun,153.0,5.7,7.5,15,21.0,80.0
N8,2015,3,Jul-Sep,145.0,8.0,7.3,12,25.0,80.0
N8,2015,4,Oct-Dec,107.0,7.3,7.3,15,24.0,100.0
R1,2015,1,Jan-Mar,139.0,3.0,7.1,0,0.0,20.0
R1,2015,2,Apr-Jun,193.0,5.3,6.7,0,0.0,40.0
R1,2015,3,Jul-Sep,108.0,10.0,7.6,0,0.0,60.0
R1,2015,4,Oct-Dec,101.0,6.3,7.3,0,0.0,60.0
R2,2015,1,Jan-Mar,42.0,4.1,7.6,0,0.0,40.0
R2,2015,2,Apr-Jun,53.0,5.8,7.3,0,0.0,60.0
R2,2015,3,Jul-Sep,45.0,12.0,7.8,0,0.0,60.0
R2,2015,4,Oct-Dec,60.0,10.7,7.4,0,0.0,60.0
R3,2015,1,Jan-Mar,47.0,4.0,7.7,0,0.0,40.0
R3,2015,2,Apr-Jun,47.0,4.5,7.8,0,0.0,40.0
R3,2015,3,Jul-Sep,36.0,7.5,7.7,0,0.0,60.0
R3,2015,4,Oct-Dec,44.0,7.8,7.3,0,0.0,60.0
R4,2015,1,Jan-Mar,239.0,3.7,7.2,0,0.0,20.0
R4,2015,2,Apr-Jun,363.0,5.1,6.0,0,0.0,20.0
R4,2015,3,Jul-Sep,237.0,10.2,7.8,0,0.0,40.0
R4,2015,4,Oct-Dec,277.0,8.1,7.3,0,0.0,40.0
R5,2015,1,Jan-Mar,230.0,5.7,7.6,0,0.0,40.0
R5,2015,2,Apr-Jun,266.0,6.0,7.4,0,0.0,40.0
R5,2015,3,Jul-Sep,173.0,7.8,7.6,0,0.0,40.0
R5,2015,4,Oct-Dec,250.0,9.3,7.9,0,0.0,40.0
R6,2015,1,Jan-Mar,126.0,4.3,7.6,16,16.0,60.0
R6,2015,2,Apr-Jun,168.0,5.5,7.5,15,19.0,80.0
R6,2015,3,Jul-Sep,157.0,5.9,7.4,13,20.0,80.0
R6,2015,4,Oct-Dec,112.0,7.2,7.5,17,21.0,100.0
K1,2016,1,Jan-Mar,53.0,6.7,7.3,0,0.0,60.0
K1,2016,2,Apr-Jun,57.0,4.2,7.5,0,0.0,40.0
K1,2016,3,Jul-Sep,59.0,2.4,7.5,0,0.0,40.0
K1,2016,4,Oct-Dec,62.0,5.1,7.6,0,0.0,60.0
K10,2016,1,Jan-Mar,54.0,7.4,7.5,0,0.0,60.0
K10,2016,2,Apr-Jun,56.0,10.1,7.5,0,0.0,60.0
K10,2016,3,Jul-Sep,56.0,7.0,7.2,0,0.0,60.0
K10,2016,4,Oct-Dec,56.0,7.7,7.4,0,0.0,60.0
K11,2016,1,Jan-Mar,41.0,4.4,7.5,0,0.0,40.0
K11,2016,2,Apr-Jun,34.0,8.5,7.5,0,0.0,60.0
K11,2016,3,Jul-Sep,38.0,1.2,7.4,0,0.0,40.0
K11,2016,4,Oct-Dec,42.0,3.6,7.4,0,0.0,40.0
K14,2016,1,Jan-Mar,25.0,7.6,7.2,0,0.0,60.0
K14,2016,2,Apr-Jun,30.0,7.4,7.5,0,0.0,60.0
K14,2016,3,Jul-Sep,33.0,4.2,7.0,0,0.0,40.0
K14,2016,4,Oct-Dec,44.0,4.0,7.1,0,0.0,40.0
K18,2016,1,Jan-Mar,74.0,7.9,7.4,0,0.0,60.0
K18,2016,2,Apr-Jun,76.0,7.5,7.3,0,0.0,60.0
K18,2016,3,Jul-Sep,81.0,6.4,7.4,0,0.0,60.0
K18,2016,4,Oct-Dec,75.0,6.9,7.4,0,0.0,60.0
K19,2016,1,Jan-Mar,69.0,5.2,7.5,45,18.0,100.0
K19,2016,2,Apr-Jun,78.0,7.3,7.5,18,22.0,100.0
K19,2016,3,Jul-Sep,89.0,6.0,7.4,16,22.0,100.0
K19,2016,4,Oct-Dec,75.0,4.9,7.3,16,24.0,80.0
K21,2016,1,Jan-Mar,54.0,6.1,7.3,27,22.0,100.0
K21,2016,2,Apr-Jun,55.0,6.6,7.3,20,22.0,100.0
K21,2016,3,Jul-Sep,57.0,7.3,7.2,16,27.0,100.0
K21,2016,4,Oct-Dec,54.0,7.3,7.3,19,25.0,100.0
K25,2016,1,Jan-Mar,78.0,7.5,7.6,0,0.0,60.0
K25,2016,2,Apr-Jun,81.0,7.6,7.5,0,0.0,60.0
K25,2016,3,Jul-Sep,78.0,8.7,7.4,0,0.0,60.0
K25,2016,4,Oct-Dec,80.0,7.4,7.4,0,0.0,60.0
K3,2016,1,Jan-Mar,56.0,4.0,7.4,0,0.0,40.0
K3,2016,2,Apr-Jun,57.0,6.6,7.5,0,0.0,60.0
K3,2016,3,Jul-Sep,69.0,3.0,7.4,0,0.0,40.0
K3,2016,4,Oct-Dec,64.0,6.9,7.5,0,0.0,60.0
K4,2016,1,Jan-Mar,51.0,7.4,7.5,0,0.0,60.0
K4,2016,2,Apr-Jun,54.0,7.7,7.5,0,0.0,60.0
K4,2016,3,Jul-Sep,58.0,2.8,7.4,0,0.0,40.0
K4,2016,4,Oct-Dec,54.0,4.6,7.5,0,0.0,40.0
K5,2016,1,Jan-Mar,51.0,8.1,7.3,0,0.0,60.0
K5,2016,2,Apr-Jun,55.0,6.3,7.3,0,0.0,60.0
K5,2016,3,Jul-Sep,56.0,3.3,7.3,0,0.0,40.0
K5,2016,4,Oct-Dec,49.0,5.7,7.2,0,0.0,60.0
K6,2016,1,Jan-Mar,54.0,4.0,7.5,0,0.0,40.0
K6,2016,2,Apr-Jun,55.0,2.9,7.3,0,0.0,40.0
K6,2016,3,Jul-Sep,63.0,5.8,7.6,0,0.0,60.0
K6,2016,4,Oct-Dec,60.0,6.2,7.6,0,0.0,60.0
E17,2016,1,Jan-Mar,198.0,2.9,7.0,0,0.0,20.0
E17,2016,2,Apr-Jun,275.0,3.1,7.2,0,0.0,20.0
E17,2016,3,Jul-Sep,264.0,4.5,7.1,0,0.0,20.0
E17,2016,4,Oct-Dec,200.0,3.7,6.6,0,0.0,20.0
E2,2016,1,Jan-Mar,34.0,9.1,7.3,0,0.0,60.0
E2,2016,2,Apr-Jun,31.0,9.6,7.5,0,0.0,60.0
E2,2016,3,Jul-Sep,32.0,7.4,7.3,0,0.0,60.0
E2,2016,4,Oct-Dec,49.0,8.9,7.3,0,0.0,60.0
E7,2016,1,Jan-Mar,141.0,6.2,7.2,0,0.0,40.0
E7,2016,2,Apr-Jun,300.0,8.5,7.1,0,0.0,40.0
E7,2016,3,Jul-Sep,340.0,3.2,6.9,0,0.0,20.0
E7,2016,4,Oct-Dec,235.0,7.7,6.4,0,0.0,20.0
E8,2016,1,Jan-Mar,63.0,7.0,6.3,0,0.0,40.0
E8,2016,2,Apr-Jun,104.0,8.5,7.3,0,0.0,60.0
E8,2016,3,Jul-Sep,245.0,3.1,7.1,0,0.0,20.0
E8,2016,4,Oct-Dec,95.0,6.6,7.3,0,0.0,60.0
N4,2016,1,Jan-Mar,63.0,8.6,6.1,0,0.0,40.0
