,sample_pt_desc,year,qtr,quarter,cod,conductivity,e_coli,pH,nitrate,phosphate,physical_compliance_percentage,chemical_compliance_percentage,bacteriological_compliance_percentage,biological_compliance_percentage,overall_compliance_percentage,river_id
33,Klip River @ Olifantsvlei Sewage Works,2013,2,Apr-Jun,0.0,48.0,900.0,7.5,3.2,0.25,60.0,100.0,0.0,0.0,40.0,3
34,Klip River @ Olifantsvlei Sewage Works,2013,3,Jul-Sep,0.0,51.0,3490.0,7.6,3.0,0.21,60.0,100.0,0.0,0.0,40.0,3
35,Klip River @ Olifantsvlei Sewage Works,2013,4,Oct-Dec,0.0,52.0,4760.0,7.4,2.0,0.3,60.0,100.0,0.0,0.0,40.0,3
36,Klipspruit @ Kliptown ,2013,1,Jan-Mar,0.0,57.0,0.0,6.9,1.06,0.11,60.0,81.82,0.0,0.0,35.46,3
37,Klipspruit @ Kliptown ,2013,2,Apr-Jun,0.0,49.0,0.0,7.2,1.6,0.11,60.0,90.91,0.0,0.0,37.73,3
38,Klipspruit @ Kliptown ,2013,3,Jul-Sep,0.0,58.0,0.0,7.5,1.4,0.18,60.0,81.82,0.0,0.0,35.46,3
39,Klipspruit @ Kliptown ,2013,4,Oct-Dec,0.0,58.0,0.0,7.2,0.75,0.28,60.0,90.91,0.0,0.0,37.73,3
40,Klip River @ Soweto N12 Highway,2013,1,Jan-Mar,0.0,50.0,0.0,7.3,1.34,0.26,40.0,100.0,0.0,0.0,35.0,3
41,Klip River @ Soweto N12 Highway,2013,2,Apr-Jun,0.0,54.0,0.0,7.5,2.8,0.15,60.0,100.0,0.0,0.0,40.0,3
42,Klip River @ Soweto N12 Highway,2013,3,Jul-Sep,0.0,52.0,0.0,7.5,2.0,0.24,60.0,100.0,0.0,0.0,40.0,3
43,Klip River @ Soweto N12 Highway,2013,4,Oct-Dec,0.0,56.0,0.0,7.5,1.3,0.33,40.0,100.0,0.0,0.0,35.0,3
44,Elsburgspruit @ Heidelberg Road,2013,1,Jan-Mar,0.0,72.0,53620.0,6.9,0.63,0.05,40.0,90.91,0.0,0.0,32.73,3
45,Elsburgspruit @ Heidelberg Road,2013,2,Apr-Jun,0.0,94.0,10490.0,6.9,1.0,0.05,40.0,90.91,0.0,0.0,32.73,3
46,Elsburgspruit @ Heidelberg Road,2013,3,Jul-Sep,0.0,94.0,10070.0,7.4,0.72,0.06,60.0,72.73,0.0,0.0,33.18,3
47,Elsburgspruit @ Heidelberg Road,2013,4,Oct-Dec,0.0,88.0,31490.0,7.1,0.45,0.18,40.0,90.91,0.0,0.0,32.73,3
48,Stream @ Witwatersrand Gold Mine,2013,1,Jan-Mar,0.0,220.0,0.0,8.2,1.27,0.05,40.0,90.91,0.0,0.0,32.73,3
49,Stream @ Witwatersrand Gold Mine,2013,2,Apr-Jun,0.0,135.0,0.0,6.5,1.5,0.09,40.0,72.73,0.0,0.0,28.18,3
50,Stream @ Witwatersrand Gold Mine,2013,3,Jul-Sep,0.0,77.0,0.0,7.4,0.66,0.23,40.0,100.0,0.0,0.0,35.0,3
51,Stream @ Witwatersrand Gold Mine,2013,4,Oct-Dec,0.0,110.0,0.0,7.3,0.13,0.32,40.0,90.91,0.0,0.0,32.73,3
52,Elsburgspruit @ Elsburg Town ,2013,1,Jan-Mar,0.0,100.0,0.0,6.8,0.77,0.1,60.0,81.82,0.0,0.0,35.46,3
53,Elsburgspruit @ Elsburg Town ,2013,2,Apr-Jun,0.0,110.0,0.0,6.1,1.1,0.06,40.0,72.73,0.0,0.0,28.18,3
54,Elsburgspruit @ Elsburg Town ,2013,3,Jul-Sep,0.0,105.0,0.0,7.2,1.0,0.07,60.0,81.82,0.0,0.0,35.46,3
55,Elsburgspruit @ Elsburg Town ,2013,4,Oct-Dec,0.0,105.0,0.0,6.9,0.57,0.18,60.0,81.82,0.0,0.0,35.46,3
56,Stream @ Elspark ,2013,1,Jan-Mar,0.0,57.0,0.0,7.2,0.7,0.05,60.0,100.0,0.0,0.0,40.0,3
57,Stream @ Elspark ,2013,2,Apr-Jun,0.0,69.0,0.0,7.1,0.65,0.05,60.0,100.0,0.0,0.0,40.0,3
58,Stream @ Elspark ,2013,3,Jul-Sep,0.0,90.0,0.0,7.5,0.75,0.26,60.0,100.0,0.0,0.0,40.0,3
59,Stream @ Elspark ,2013,4,Oct-Dec,0.0,70.0,0.0,7.3,0.66,0.19,60.0,100.0,0.0,0.0,40.0,3
60,Natalspruit from Simmer and Jack Mine,2013,1,Jan-Mar,0.0,74.0,0.0,4.7,0.66,0.05,40.0,72.73,0.0,0.0,28.18,3
61,Natalspruit from Simmer and Jack Mine,2013,2,Apr-Jun,0.0,100.0,0.0,5.0,0.68,0.05,40.0,72.73,0.0,0.0,28.18,3
62,Natalspruit from Simmer and Jack Mine,2013,3,Jul-Sep,0.0,130.0,0.0,4.4,1.3,0.33,20.0,72.73,0.0,0.0,23.18,3
63,Natalspruit from Simmer and Jack Mine,2013,4,Oct-Dec,0.0,115.0,0.0,3.7,0.47,0.19,40.0,72.73,0.0,0.0,28.18,3
64,Natalspruit @ Alrode ,2013,1,Jan-Mar,0.0,58.0,22350.0,6.5,0.7,0.08,60.0,90.91,0.0,0.0,37.73,3
65,Natalspruit @ Alrode ,2013,2,Apr-Jun,0.0,72.0,48100.0,6.7,1.2,0.06,40.0,90.91,0.0,0.0,32.73,3
66,Natalspruit @ Alrode ,2013,3,Jul-Sep,0.0,80.0,30310.0,7.0,0.92,0.06,60.0,90.91,0.0,0.0,37.73,3
67,Natalspruit @ Alrode ,2013,4,Oct-Dec,0.0,68.0,24080.0,6.7,0.38,0.19,40.0,90.91,0.0,0.0,32.73,3
68,Natalspruit @ Heidelberg Road ,2013,1,Jan-Mar,17.0,72.0,1530.0,7.1,2.95,0.23,100.0,100.0,0.0,100.0,75.0,3
69,Natalspruit @ Heidelberg Road ,2013,2,Apr-Jun,14.0,68.0,900.0,7.2,2.8,0.1,100.0,100.0,0.0,100.0,75.0,3
70,Natalspruit @ Heidelberg Road ,2013,3,Jul-Sep,26.0,79.0,650.0,7.6,4.4,0.11,100.0,100.0,0.0,100.0,75.0,3
71,Natalspruit @ Heidelberg Road ,2013,4,Oct-Dec,25.0,78.0,4340.0,7.4,2.9,0.29,80.0,100.0,0.0,100.0,70.0,3
72,Rietspruit from Sallies ,2013,1,Jan-Mar,0.0,120.0,0.0,6.8,0.34,0.07,60.0,100.0,0.0,0.0,40.0,3
73,Rietspruit from Sallies ,2013,2,Apr-Jun,0.0,150.0,0.0,6.6,0.13,0.05,40.0,100.0,0.0,0.0,35.0,3
74,Rietspruit from Sallies ,2013,3,Jul-Sep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
75,Rietspruit from Sallies ,2013,4,Oct-Dec,0.0,150.0,0.0,7.8,0.35,0.1,20.0,100.0,0.0,0.0,30.0,3
76,Withokspruit Tributary ,2013,1,Jan-Mar,0.0,36.0,0.0,7.3,0.56,0.11,60.0,100.0,0.0,0.0,40.0,3
77,Withokspruit Tributary ,2013,2,Apr-Jun,0.0,44.0,0.0,7.4,1.3,0.07,60.0,100.0,0.0,0.0,40.0,3
78,Withokspruit Tributary ,2013,3,Jul-Sep,0.0,49.0,0.0,7.7,1.0,0.06,40.0,100.0,0.0,0.0,35.0,3
79,Withokspruit Tributary ,2013,4,Oct-Dec,0.0,53.0,0.0,7.7,0.98,0.17,40.0,100.0,0.0,0.0,35.0,3
80,Tributary @ Van Dyk Consolidated,2013,1,Jan-Mar,0.0,48.0,0.0,7.4,0.32,0.19,60.0,100.0,0.0,0.0,40.0,3
81,Tributary @ Van Dyk Consolidated,2013,2,Apr-Jun,0.0,52.0,0.0,7.4,0.68,0.06,60.0,100.0,0.0,0.0,40.0,3
82,Tributary @ Van Dyk Consolidated,2013,3,Jul-Sep,0.0,35.0,0.0,7.8,0.93,0.06,60.0,100.0,0.0,0.0,40.0,3
83,Tributary @ Van Dyk Consolidated,2013,4,Oct-Dec,0.0,35.0,0.0,7.3,1.0,0.15,40.0,100.0,0.0,0.0,35.0,3
84,Rietspruit @ Vosloorus ,2013,1,Jan-Mar,0.0,120.0,0.0,7.6,0.21,0.1,60.0,100.0,0.0,0.0,40.0,3
85,Rietspruit @ Vosloorus ,2013,2,Apr-Jun,0.0,140.0,0.0,7.4,0.21,0.06,40.0,100.0,0.0,0.0,35.0,3
86,Rietspruit @ Vosloorus ,2013,3,Jul-Sep,0.0,185.0,0.0,7.8,0.54,0.22,40.0,90.91,0.0,0.0,32.73,3
87,Rietspruit @ Vosloorus ,2013,4,Oct-Dec,0.0,165.0,0.0,7.7,0.56,0.15,20.0,100.0,0.0,0.0,30.0,3
88,Rietspruit @ Hardmans Farm ,2013,1,Jan-Mar,0.0,90.0,67770.0,7.6,0.81,0.24,60.0,100.0,0.0,0.0,40.0,3
89,Rietspruit @ Hardmans Farm ,2013,2,Apr-Jun,0.0,100.0,10390.0,6.7,1.6,0.08,60.0,100.0,0.0,0.0,40.0,3
90,Rietspruit @ Hardmans Farm ,2013,3,Jul-Sep,0.0,135.0,152340.0,8.1,1.9,0.14,40.0,100.0,0.0,0.0,35.0,3
91,Rietspruit @ Hardmans Farm ,2013,4,Oct-Dec,0.0,125.0,63180.0,7.7,0.75,0.23,20.0,100.0,0.0,0.0,30.0,3
92,Rietspruit Weir @ Luttig's Farm ,2013,1,Jan-Mar,15.0,74.0,1520.0,7.4,2.79,0.29,100.0,100.0,0.0,100.0,75.0,3
93,Rietspruit Weir @ Luttig's Farm ,2013,2,Apr-Jun,14.0,72.0,1540.0,7.2,3.8,0.13,80.0,100.0,0.0,100.0,70.0,3
94,Rietspruit Weir @ Luttig's Farm ,2013,3,Jul-Sep,22.0,83.0,340.0,7.5,5.5,0.11,100.0,100.0,100.0,100.0,100.0,3
95,Rietspruit Weir @ Luttig's Farm ,2013,4,Oct-Dec,24.0,80.0,3940.0,7.3,3.7,0.28,80.0,100.0,0.0,100.0,70.0,3
96,Klip River @ Lido Hotel ,2014,1,Jan-Mar,0.0,50.0,0.0,7.5,2.1,0.32,60.0,100.0,0.0,0.0,40.0,3
97,Klip River @ Lido Hotel ,2014,2,Apr-Jun,0.0,54.0,0.0,7.5,3.8,0.44,60.0,100.0,0.0,0.0,40.0,3
98,Klip River @ Lido Hotel ,2014,3,Jul-Sep,0.0,57.0,0.0,7.5,2.4,0.73,40.0,90.91,0.0,0.0,32.73,3
99,Klip River @ Lido Hotel ,2014,4,Oct-Dec,0.0,50.0,0.0,7.3,3.2,0.49,60.0,100.0,0.0,0.0,40.0,3
100,Klip River @ Everite ,2014,1,Jan-Mar,0.0,49.0,0.0,7.6,2.1,0.36,60.0,100.0,0.0,0.0,40.0,3
101,Klip River @ Everite ,2014,2,Apr-Jun,0.0,59.0,0.0,7.6,4.0,0.33,60.0,100.0,0.0,0.0,40.0,3
102,Klip River @ Everite ,2014,3,Jul-Sep,0.0,58.0,0.0,7.5,2.3,0.8,60.0,90.91,0.0,0.0,37.73,3
103,Klip River @ Everite ,2014,4,Oct-Dec,0.0,49.0,0.0,7.3,2.6,0.39,60.0,100.0,0.0,0.0,40.0,3
104,Klip River from Roodepoort @ R41 Bridge,2014,1,Jan-Mar,0.0,31.0,0.0,7.4,0.41,0.1,60.0,100.0,0.0,0.0,40.0,3
105,Klip River from Roodepoort @ R41 Bridge,2014,2,Apr-Jun,0.0,41.0,0.0,7.4,1.1,0.21,60.0,100.0,0.0,0.0,40.0,3
106,Klip River from Roodepoort @ R41 Bridge,2014,3,Jul-Sep,0.0,44.0,0.0,7.6,2.0,0.16,60.0,81.82,0.0,0.0,35.46,3
107,Klip River from Roodepoort @ R41 Bridge,2014,4,Oct-Dec,0.0,35.0,0.0,7.4,0.66,0.08,60.0,100.0,0.0,0.0,40.0,3
108,Klip River from Witpoortjie @ R41 Bridge,2014,1,Jan-Mar,0.0,22.0,0.0,7.1,1.1,0.1,60.0,100.0,0.0,0.0,40.0,3
109,Klip River from Witpoortjie @ R41 Bridge,2014,2,Apr-Jun,0.0,18.0,0.0,7.0,0.54,0.1,60.0,100.0,0.0,0.0,40.0,3
110,Klip River from Witpoortjie @ R41 Bridge,2014,3,Jul-Sep,0.0,17.0,0.0,7.2,0.37,0.12,60.0,100.0,0.0,0.0,40.0,3
111,Klip River from Witpoortjie @ R41 Bridge,2014,4,Oct-Dec,0.0,20.0,0.0,7.3,0.28,0.08,40.0,100.0,0.0,0.0,35.0,3
112,Klip River Weir @ Henley-On- Klip,2014,1,Jan-Mar,0.0,59.0,16180.0,7.6,2.3,0.36,40.0,100.0,0.0,0.0,35.0,3
113,Klip River Weir @ Henley-On- Klip,2014,2,Apr-Jun,0.0,65.0,1310.0,7.6,4.9,0.34,60.0,100.0,0.0,0.0,40.0,3
114,Klip River Weir @ Henley-On- Klip,2014,3,Jul-Sep,0.0,76.0,1910.0,7.5,4.3,0.39,60.0,100.0,0.0,0.0,40.0,3
115,Klip River Weir @ Henley-On- Klip,2014,4,Oct-Dec,0.0,68.0,33720.0,7.4,3.2,0.33,40.0,100.0,0.0,0.0,35.0,3
116,Klip River Weir @ Zwartkopjes Farm,2014,1,Jan-Mar,19.0,51.0,7710.0,7.5,2.8,0.37,80.0,100.0,0.0,100.0,70.0,3
117,Klip River Weir @ Zwartkopjes Farm,2014,2,Apr-Jun,21.0,55.0,1730.0,7.6,3.5,0.38,100.0,100.0,0.0,100.0,75.0,3
118,Klip River Weir @ Zwartkopjes Farm,2014,3,Jul-Sep,26.0,57.0,161830.0,7.5,3.4,0.67,100.0,90.91,0.0,100.0,72.73,3
119,Klip River Weir @ Zwartkopjes Farm,2014,4,Oct-Dec,26.0,54.0,91530.0,7.4,3.3,0.43,80.0,100.0,0.0,100.0,70.0,3
120,Klip River downstream of Rietspruit Confluence,2014,1,Jan-Mar,0.0,57.0,8100.0,7.7,2.4,0.34,40.0,100.0,0.0,0.0,35.0,3
121,Klip River downstream of Rietspruit Confluence,2014,2,Apr-Jun,0.0,66.0,1740.0,7.6,4.1,0.31,60.0,100.0,0.0,0.0,40.0,3
122,Klip River downstream of Rietspruit Confluence,2014,3,Jul-Sep,0.0,81.0,101460.0,7.5,4.3,0.57,60.0,100.0,0.0,0.0,40.0,3
123,Klip River downstream of Rietspruit Confluence,2014,4,Oct-Dec,0.0,64.0,19780.0,7.3,2.2,0.2,40.0,100.0,0.0,0.0,35.0,3
124,Harringtonspruit @ Nancefield Industrial Area,2014,1,Jan-Mar,0.0,52.0,0.0,7.5,2.9,0.78,60.0,90.91,0.0,0.0,37.73,3
125,Harringtonspruit @ Nancefield Industrial Area,2014,2,Apr-Jun,0.0,54.0,0.0,7.4,1.6,0.57,60.0,100.0,0.0,0.0,40.0,3
126,Harringtonspruit @ Nancefield Industrial Area,2014,3,Jul-Sep,0.0,51.0,0.0,7.5,4.4,0.42,60.0,100.0,0.0,0.0,40.0,3
127,Harringtonspruit @ Nancefield Industrial Area,2014,4,Oct-Dec,0.0,49.0,0.0,7.4,3.7,1.2,40.0,90.91,0.0,0.0,32.73,3
128,Klip River @ Olifantsvlei Sewage Works,2014,1,Jan-Mar,0.0,48.0,2040.0,7.6,2.4,0.32,60.0,100.0,0.0,0.0,40.0,3
129,Klip River @ Olifantsvlei Sewage Works,2014,2,Apr-Jun,0.0,53.0,1390.0,7.6,3.3,0.28,60.0,100.0,0.0,0.0,40.0,3
130,Klip River @ Olifantsvlei Sewage Works,2014,3,Jul-Sep,0.0,55.0,1280.0,7.7,4.8,0.17,60.0,100.0,0.0,0.0,40.0,3
131,Klip River @ Olifantsvlei Sewage Works,2014,4,Oct-Dec,0.0,48.0,18920.0,7.4,1.4,0.14,60.0,100.0,0.0,0.0,40.0,3
132,Klipspruit @ Kliptown ,2014,1,Jan-Mar,0.0,59.0,0.0,7.0,1.4,0.15,60.0,90.91,0.0,0.0,37.73,3
133,Klipspruit @ Kliptown ,2014,2,Apr-Jun,0.0,60.0,0.0,7.4,0.77,0.13,60.0,81.82,0.0,0.0,35.46,3
134,Klipspruit @ Kliptown ,2014,3,Jul-Sep,0.0,59.0,0.0,7.4,0.91,0.21,60.0,81.82,0.0,0.0,35.46,3
135,Klipspruit @ Kliptown ,2014,4,Oct-Dec,0.0,51.0,0.0,7.2,0.69,0.08,60.0,81.82,0.0,0.0,35.46,3
136,Klip River @ Soweto N12 Highway,2014,1,Jan-Mar,0.0,50.0,0.0,7.6,1.1,0.44,40.0,100.0,0.0,0.0,35.0,3
137,Klip River @ Soweto N12 Highway,2014,2,Apr-Jun,0.0,54.0,0.0,7.4,1.9,0.31,60.0,100.0,0.0,0.0,40.0,3
138,Klip River @ Soweto N12 Highway,2014,3,Jul-Sep,0.0,56.0,0.0,7.5,1.9,0.49,40.0,100.0,0.0,0.0,35.0,3
139,Klip River @ Soweto N12 Highway,2014,4,Oct-Dec,0.0,55.0,0.0,7.5,1.1,0.3,40.0,100.0,0.0,0.0,35.0,3
140,Elsburgspruit @ Heidelberg Road,2014,1,Jan-Mar,0.0,72.0,204870.0,7.2,0.99,0.17,40.0,90.91,0.0,0.0,32.73,3
141,Elsburgspruit @ Heidelberg Road,2014,2,Apr-Jun,0.0,96.0,28920.0,7.2,0.53,0.2,40.0,90.91,0.0,0.0,32.73,3
142,Elsburgspruit @ Heidelberg Road,2014,3,Jul-Sep,0.0,260.0,24950.0,7.2,2.1,0.14,20.0,81.82,0.0,0.0,25.46,3
143,Elsburgspruit @ Heidelberg Road,2014,4,Oct-Dec,0.0,255.0,26570.0,7.3,0.54,0.06,20.0,81.82,0.0,0.0,25.46,3
144,Stream @ Witwatersrand Gold Mine,2014,1,Jan-Mar,0.0,32.0,0.0,7.0,0.45,0.55,40.0,100.0,0.0,0.0,35.0,3
145,Stream @ Witwatersrand Gold Mine,2014,2,Apr-Jun,0.0,29.0,0.0,7.0,0.95,0.13,60.0,100.0,0.0,0.0,40.0,3
146,Stream @ Witwatersrand Gold Mine,2014,3,Jul-Sep,0.0,85.0,0.0,7.3,1.7,0.47,40.0,90.91,0.0,0.0,32.73,3
147,Stream @ Witwatersrand Gold Mine,2014,4,Oct-Dec,0.0,105.0,0.0,7.2,0.41,0.92,40.0,81.82,0.0,0.0,30.46,3
148,Elsburgspruit @ Elsburg Town ,2014,1,Jan-Mar,0.0,73.0,0.0,7.1,0.46,0.24,40.0,90.91,0.0,0.0,32.73,3
149,Elsburgspruit @ Elsburg Town ,2014,2,Apr-Jun,0.0,91.0,0.0,7.1,0.29,0.18,60.0,81.82,0.0,0.0,35.46,3
150,Elsburgspruit @ Elsburg Town ,2014,3,Jul-Sep,0.0,295.0,0.0,7.0,0.95,0.11,40.0,81.82,0.0,0.0,30.46,3
151,Elsburgspruit @ Elsburg Town ,2014,4,Oct-Dec,0.0,295.0,0.0,7.1,2.6,0.08,20.0,81.82,0.0,0.0,25.46,3
152,Stream @ Elspark ,2014,1,Jan-Mar,0.0,68.0,0.0,7.6,0.74,0.1,60.0,100.0,0.0,0.0,40.0,3
153,Stream @ Elspark ,2014,2,Apr-Jun,0.0,110.0,0.0,7.5,0.65,0.14,60.0,100.0,0.0,0.0,40.0,3
154,Stream @ Elspark ,2014,3,Jul-Sep,0.0,120.0,0.0,7.8,0.42,0.09,60.0,100.0,0.0,0.0,40.0,3
155,Stream @ Elspark ,2014,4,Oct-Dec,0.0,115.0,0.0,7.8,0.65,0.07,60.0,100.0,0.0,0.0,40.0,3
156,Natalspruit from Simmer and Jack Mine,2014,1,Jan-Mar,0.0,105.0,0.0,4.4,0.81,0.1,40.0,72.73,0.0,0.0,28.18,3
157,Natalspruit from Simmer and Jack Mine,2014,2,Apr-Jun,0.0,115.0,0.0,4.2,1.2,0.08,40.0,72.73,0.0,0.0,28.18,3
158,Natalspruit from Simmer and Jack Mine,2014,3,Jul-Sep,0.0,130.0,0.0,4.7,1.2,0.09,20.0,72.73,0.0,0.0,23.18,3
159,Natalspruit from Simmer and Jack Mine,2014,4,Oct-Dec,0.0,105.0,0.0,4.3,0.54,0.07,40.0,72.73,0.0,0.0,28.18,3
160,Natalspruit @ Alrode ,2014,1,Jan-Mar,0.0,54.0,15280.0,6.9,0.72,0.09,40.0,90.91,0.0,0.0,32.73,3
161,Natalspruit @ Alrode ,2014,2,Apr-Jun,0.0,68.0,164680.0,6.9,1.3,0.25,60.0,90.91,0.0,0.0,37.73,3
162,Natalspruit @ Alrode ,2014,3,Jul-Sep,0.0,58.0,17210.0,7.2,1.8,0.09,60.0,81.82,0.0,0.0,35.46,3
163,Natalspruit @ Alrode ,2014,4,Oct-Dec,0.0,49.0,27160.0,7.1,0.7,0.11,40.0,90.91,0.0,0.0,32.73,3
164,Natalspruit @ Heidelberg Road ,2014,1,Jan-Mar,18.0,63.0,10240.0,7.6,2.6,0.27,100.0,100.0,0.0,100.0,75.0,3
165,Natalspruit @ Heidelberg Road ,2014,2,Apr-Jun,20.0,80.0,2360.0,7.5,4.1,0.22,100.0,100.0,0.0,100.0,75.0,3
166,Natalspruit @ Heidelberg Road ,2014,3,Jul-Sep,24.0,125.0,4560.0,7.6,3.8,0.23,60.0,100.0,0.0,100.0,65.0,3
167,Natalspruit @ Heidelberg Road ,2014,4,Oct-Dec,22.0,110.0,5760.0,7.6,4.0,0.17,80.0,100.0,0.0,100.0,70.0,3
168,Rietspruit from Sallies ,2014,1,Jan-Mar,0.0,140.0,0.0,7.1,0.31,0.14,20.0,100.0,0.0,0.0,30.0,3
169,Rietspruit from Sallies ,2014,2,Apr-Jun,0.0,190.0,0.0,7.0,0.1,0.1,40.0,90.91,0.0,0.0,32.73,3
170,Rietspruit from Sallies ,2014,3,Jul-Sep,0.0,220.0,0.0,7.2,0.33,0.1,40.0,90.91,0.0,0.0,32.73,3
171,Rietspruit from Sallies ,2014,4,Oct-Dec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
172,Withokspruit Tributary ,2014,1,Jan-Mar,0.0,35.0,0.0,7.6,0.65,0.23,40.0,100.0,0.0,0.0,35.0,3
173,Withokspruit Tributary ,2014,2,Apr-Jun,0.0,54.0,0.0,7.4,1.9,0.22,60.0,100.0,0.0,0.0,40.0,3
