sample_id,year,qtr,quarter,aluminium,ammonium,chloride,fluoride,iron,magnesium,manganese,nitrate,phosphate,sodium,sulphate,compliance_%
B13,2013,1,Jan-Mar,0.01,2.0,58.0,0.22,0.05,12.0,0.23,1.1,1.1,54.0,67,90.91
B13,2013,2,Apr-Jun,0.01,9.7,92.0,0.23,0.1,11.0,0.17,0.24,0.46,79.0,110,90.91
B13,2013,3,Jul-Sep,0.01,9.4,70.0,0.19,0.11,12.0,0.26,0.7,1.3,78.0,92,81.82
B13,2013,4,Oct-Dec,0.01,2.5,53.0,0.28,0.03,13.0,0.31,1.6,0.86,58.0,94,90.91
B5,2013,1,Jan-Mar,0.01,1.8,49.0,0.29,0.04,14.0,0.44,0.21,0.86,48.0,80,90.91
B5,2013,2,Apr-Jun,0.01,4.8,73.0,0.26,0.02,14.0,0.14,0.77,0.27,63.0,130,100.0
B5,2013,3,Jul-Sep,0.01,7.7,67.0,0.21,0.06,14.0,0.17,0.42,0.57,64.0,115,90.91
B5,2013,4,Oct-Dec,0.01,1.8,63.0,0.43,0.04,15.0,0.36,0.65,0.47,62.0,120,100.0
B16,2013,1,Jan-Mar,0.01,2.3,54.0,0.35,0.25,16.0,1.4,0.46,1.4,54.0,95,81.82
B16,2013,2,Apr-Jun,0.01,4.4,79.0,0.32,0.01,16.0,0.21,0.33,0.68,71.0,140,90.91
B16,2013,3,Jul-Sep,0.01,2.7,84.0,0.25,0.02,17.0,0.22,1.2,1.2,84.0,135,90.91
B16,2013,4,Oct-Dec,0.01,5.0,74.0,0.35,0.04,18.0,0.55,0.33,1.9,75.0,120,90.91
B6,2013,1,Jan-Mar,0.01,0.11,37.0,0.36,0.01,12.0,0.31,0.23,0.05,24.0,71,100.0
B6,2013,2,Apr-Jun,0.02,0.1,33.0,0.33,0.01,11.0,0.06,0.41,0.05,23.0,78,100.0
B6,2013,3,Jul-Sep,0.01,0.12,46.0,0.3,0.03,12.0,0.2,0.42,0.06,34.0,58,100.0
B6,2013,4,Oct-Dec,0.02,0.68,44.0,0.41,0.03,14.0,0.29,0.44,0.21,37.0,70,100.0
B15,2013,1,Jan-Mar,0.01,1.6,60.0,0.31,0.2,16.0,2.1,0.18,1.5,52.0,75,81.82
B15,2013,2,Apr-Jun,0.01,1.5,75.0,0.32,0.03,15.0,0.13,0.45,0.77,65.0,120,90.91
B15,2013,3,Jul-Sep,0.01,1.7,89.0,0.26,0.02,18.0,0.2,1.4,1.1,85.0,140,90.91
B15,2013,4,Oct-Dec,0.01,3.0,79.0,0.36,0.04,18.0,1.0,0.27,2,77.0,125,90.91
B17,2013,1,Jan-Mar,0.03,0.11,59.0,0.38,0.11,18.0,1.6,0.10,1.2,55.0,80,81.82
B17,2013,2,Apr-Jun,0.01,0.1,60.0,0.29,0.01,17.0,0.29,0.36,1,59.0,87,90.91
B17,2013,3,Jul-Sep,0.01,0.38,90.0,0.27,0.03,18.0,0.46,1.1,0.58,78.0,145,100.0
B17,2013,4,Oct-Dec,0.01,0.19,99.0,0.41,0.02,23.0,1.1,0.10,0.9,99.0,150,81.82
B11,2013,1,Jan-Mar,0.01,0.11,63.0,0.33,0.1,18.0,0.88,0.37,1.1,55.0,80,90.91
B11,2013,2,Apr-Jun,0.01,0.1,61.0,0.37,0.01,15.0,0.06,0.10,0.66,47.0,86,90.91
B11,2013,3,Jul-Sep,0.01,1.0,75.0,0.3,0.07,17.0,0.24,0.9,0.57,68.0,120,100.0
B11,2013,4,Oct-Dec,0.02,0.19,84.0,0.43,0.04,21.0,0.27,0.10,0.78,88.0,130,90.91
B7,2013,1,Jan-Mar,0.01,0.11,33.0,0.45,0.04,13.0,0.23,0.79,0.15,33.0,92,100.0
B7,2013,2,Apr-Jun,0.01,0.14,27.0,0.41,0.01,11.0,0.23,0.21,0.05,29.0,74,100.0
B7,2013,3,Jul-Sep,0.05,0.57,35.0,0.36,0.27,14.0,1.2,0.78,0.06,52.0,110,90.91
B7,2013,4,Oct-Dec,0.01,0.82,45.0,0.41,0.03,33.0,4.2,0.33,0.08,62.0,295,90.91
B8,2013,1,Jan-Mar,0.01,0.11,61.0,0.38,0.01,18.0,0.07,0.94,0.75,54.0,83,90.91
B8,2013,2,Apr-Jun,0.01,0.1,68.0,0.38,0.01,17.0,0.07,0.17,0.64,55.0,98,90.91
B8,2013,3,Jul-Sep,0.01,0.17,90.0,0.28,0.02,18.0,0.15,0.42,0.54,79.0,145,100.0
B8,2013,4,Oct-Dec,0.01,0.29,93.0,0.41,0.02,23.0,0.37,0.63,0.7,87.0,145,90.91
B14,2013,1,Jan-Mar,0.01,0.44,62.0,0.34,0.02,17.0,0.09,0.74,0.68,53.0,75,90.91
B14,2013,2,Apr-Jun,0.01,0.24,66.0,0.38,0.01,16.0,0.1,0.54,0.56,54.0,95,100.0
B14,2013,3,Jul-Sep,0.01,1.6,81.0,0.28,0.03,18.0,0.14,1.2,0.85,77.0,125,90.91
B14,2013,4,Oct-Dec,0.01,0.7,79.0,0.38,0.06,18.0,0.16,1.3,0.86,72.0,125,90.91
B12,2013,1,Jan-Mar,0.03,1.7,31.0,0.35,0.02,12.0,0.33,2,0.48,26.0,39,100.0
B12,2013,2,Apr-Jun,0.04,2.4,24.0,0.29,0.04,10.0,0.2,2.6,0.3,23.0,41,100.0
B12,2013,3,Jul-Sep,0.16,7.4,29.0,0.22,0.17,11.0,0.12,4,1.1,32.0,38,81.82
B12,2013,4,Oct-Dec,0.21,4.9,31.0,0.27,0.05,10.0,0.17,2.5,0.57,33.0,45,100.0
B10,2013,1,Jan-Mar,0.01,0.14,51.0,0.32,0.01,15.0,0.03,1.35,0.57,46.0,66,100.0
B10,2013,2,Apr-Jun,0.01,0.17,58.0,0.36,0.02,16.0,0.04,1.1,0.48,49.0,82,100.0
B10,2013,3,Jul-Sep,0.01,0.5,67.0,0.29,0.05,16.0,0.13,2.3,0.6,66.0,105,100.0
B10,2013,4,Oct-Dec,0.01,0.9,63.0,0.37,0.03,16.0,0.18,2.5,0.64,61.0,93,90.91
S1,2013,1,Jan-Mar,0.38,0.12,23.0,0.22,0.34,9.0,0.08,0.44,0.1,20.0,67,100.0
S1,2013,2,Apr-Jun,0.33,0.58,25.0,0.28,0.39,9.0,0.03,0.59,0.08,16.0,32,100.0
S1,2013,3,Jul-Sep,0.09,0.1,25.0,0.23,0.1,13.0,0.03,0.66,0.09,21.0,29,100.0
S1,2013,4,Oct-Dec,0.16,0.21,42.0,0.35,0.09,15.0,0.04,0.78,0.26,37.0,18,100.0
S2,2013,1,Jan-Mar,0.01,0.11,47.0,0.31,0.01,15.0,0.02,1.1,0.28,43.0,67,100.0
S2,2013,2,Apr-Jun,0.02,0.17,65.0,0.38,0.02,15.0,0.02,2,0.29,44.0,88,100.0
S2,2013,3,Jul-Sep,0.01,0.11,68.0,0.28,0.05,17.0,0.03,2.5,0.29,65.0,100,100.0
S2,2013,4,Oct-Dec,0.08,0.18,60.0,0.32,0.03,16.0,0.01,1.6,0.36,59.0,81,100.0
B1,2014,1,Jan-Mar,0.03,0.24,14.0,0.32,0.05,9.0,0.05,0.2,0.12,17.0,31,100.0
B1,2014,2,Apr-Jun,0.01,0.14,23.0,0.32,0.06,9.0,0.13,0.73,0.26,16.0,49,100.0
B1,2014,3,Jul-Sep,0.01,0.22,37.0,0.32,0.07,11.0,0.11,0.94,0.09,28.0,77,100.0
B1,2014,4,Oct-Dec,0.03,0.19,35.0,0.43,0.16,11.0,0.15,0.78,0.07,34.0,74,100.0
B2,2014,1,Jan-Mar,0.02,4.6,60.0,0.3,0.08,11.0,0.12,0.56,0.77,42.0,46,90.91
B2,2014,2,Apr-Jun,0.02,3.6,56.0,0.29,0.1,12.0,0.15,0.97,0.62,46.0,50,90.91
B2,2014,3,Jul-Sep,0.01,5.7,59.0,0.22,0.36,10.0,0.09,5.2,1.4,52.0,58,81.82
B2,2014,4,Oct-Dec,0.02,2.8,37.0,0.27,0.35,8.0,0.09,0.66,1,43.0,29,90.91
B3,2014,1,Jan-Mar,0.01,0.21,56.0,0.15,0.04,10.0,0.04,1.5,0.38,52.0,65,100.0
B3,2014,2,Apr-Jun,0.01,2.5,64.0,0.23,0.04,13.0,0.13,2.7,0.44,61.0,78,100.0
B3,2014,3,Jul-Sep,0.02,4.8,61.0,0.31,0.07,13.0,0.15,3.9,0.79,68.0,88,90.91
B3,2014,4,Oct-Dec,0.05,2.2,77.0,0.1,0.25,13.0,0.26,2.1,0.22,69.0,73,100.0
B4,2014,1,Jan-Mar,0.01,0.22,32.0,0.34,0.05,11.0,0.25,0.51,0.43,32.0,51,100.0
B4,2014,2,Apr-Jun,0.03,0.44,53.0,0.27,0.02,14.0,0.04,2,0.38,56.0,81,100.0
B4,2014,3,Jul-Sep,0.02,1.5,58.0,0.21,0.04,13.0,0.11,3.4,0.6,56.0,63,100.0
B4,2014,4,Oct-Dec,0.01,2.0,53.0,0.39,0.11,13.0,1.9,0.61,1.1,56.0,72,81.82
B9,2014,1,Jan-Mar,0.06,0.21,38.0,0.34,0.04,14.0,0.06,1.1,0.12,38.0,90,100.0
B9,2014,2,Apr-Jun,0.04,0.35,41.0,0.29,0.08,14.0,0.15,0.21,0.14,51.0,132,100.0
B9,2014,3,Jul-Sep,0.06,0.32,74.0,0.4,0.13,18.0,0.21,1.9,0.17,76.0,180,100.0
B9,2014,4,Oct-Dec,0.07,0.33,83.0,0.27,0.14,17.0,0.24,0.77,0.09,78.0,160,100.0
B13,2014,1,Jan-Mar,0.01,1.7,45.0,0.31,0.06,13.0,0.17,1,0.88,52.0,60,90.91
B13,2014,2,Apr-Jun,0.01,0.5,48.0,0.27,0.04,13.0,0.12,3.2,0.74,52.0,59,90.91
B13,2014,3,Jul-Sep,0.02,1.9,57.0,0.24,0.18,12.0,0.13,2.9,0.72,60.0,82,90.91
B13,2014,4,Oct-Dec,0.01,1.7,52.0,0.16,0.26,11.0,0.22,0.98,1.6,54.0,64,90.91
B5,2014,1,Jan-Mar,0.01,0.66,42.0,0.31,0.15,14.0,0.28,0.3,0.48,46.0,83,100.0
B5,2014,2,Apr-Jun,0.02,0.42,50.0,0.28,0.03,14.0,0.32,1.4,0.36,52.0,99,100.0
B5,2014,3,Jul-Sep,0.01,1.3,62.0,0.4,0.13,15.0,0.27,1.3,0.57,70.0,110,100.0
B5,2014,4,Oct-Dec,0.04,1.4,52.0,0.28,0.32,12.0,0.38,0.34,1.4,57.0,93,90.91
B16,2014,1,Jan-Mar,0.01,1.4,46.0,0.37,0.05,16.0,0.46,0.24,0.92,46.0,83,90.91
B16,2014,2,Apr-Jun,0.03,0.38,50.0,0.26,0.03,16.0,0.16,0.96,0.42,49.0,100,100.0
B16,2014,3,Jul-Sep,0.01,0.31,70.0,0.32,0.04,18.0,0.09,1.1,0.62,68.0,110,90.91
B16,2014,4,Oct-Dec,0.01,2.3,65.0,0.31,0.17,16.0,0.77,0.43,2.6,73.0,99,90.91
B6,2014,1,Jan-Mar,0.06,0.22,36.0,2.0,0.04,15.0,0.5,0.15,0.12,32.0,84,90.91
B6,2014,2,Apr-Jun,0.09,0.26,48.0,0.34,0.02,16.0,0.35,0.6,0.19,40.0,90,100.0
B6,2014,3,Jul-Sep,0.05,0.22,56.0,0.36,0.03,17.0,0.18,0.24,0.09,39.0,105,100.0
B6,2014,4,Oct-Dec,0.04,0.12,49.0,0.38,0.26,15.0,0.26,0.5,0.07,36.0,96,100.0
B15,2014,1,Jan-Mar,0.01,1.4,47.0,0.32,0.05,16.0,0.54,0.17,0.95,46.0,125,90.91
B15,2014,2,Apr-Jun,0.02,0.23,58.0,0.33,0.02,17.0,0.14,0.3,0.36,54.0,101,100.0
B15,2014,3,Jul-Sep,0.01,0.22,68.0,0.36,0.03,17.0,0.04,0.36,0.54,68.0,100,100.0
B15,2014,4,Oct-Dec,0.01,0.36,61.0,0.38,0.08,14.0,0.41,0.85,2,62.0,98,90.91
B17,2014,1,Jan-Mar,0.02,0.22,52.0,0.38,0.02,18.0,1.6,0.96,0.9,51.0,85,81.82
B17,2014,2,Apr-Jun,0.01,3.1,56.0,0.33,0.03,18.0,0.34,0.28,0.87,52.0,102,90.91
B17,2014,3,Jul-Sep,0.01,0.22,64.0,0.42,0.03,20.0,0.16,1.9,0.46,66.0,125,100.0
B17,2014,4,Oct-Dec,0.03,0.12,78.0,0.4,0.06,19.0,0.52,0.3,0.83,72.0,110,90.91
B11,2014,1,Jan-Mar,0.01,0.22,50.0,0.39,0.04,16.0,0.34,0.10,0.86,44.0,78,90.91
B11,2014,2,Apr-Jun,0.01,0.86,54.0,0.4,0.01,18.0,0.13,0.16,0.59,50.0,94,100.0
B11,2014,3,Jul-Sep,0.01,0.22,65.0,0.41,0.03,20.0,0.08,1.8,0.42,67.0,120,100.0
B11,2014,4,Oct-Dec,0.01,0.12,65.0,0.42,0.14,21.0,0.21,0.6,0.67,76.0,105,90.91
B7,2014,1,Jan-Mar,0.01,0.27,42.0,0.44,0.1,18.0,1.5,0.10,0.15,54.0,155,90.91
B7,2014,2,Apr-Jun,0.05,0.32,39.0,0.42,0.02,21.0,1.8,0.18,0.08,44.0,224,90.91
B7,2014,3,Jul-Sep,0.03,0.28,49.0,0.35,0.07,22.0,1.3,1.3,0.15,54.0,280,90.91
B7,2014,4,Oct-Dec,0.01,0.79,44.0,0.28,0.32,32.0,3.1,0.75,0.05,47.0,480,90.91
B8,2014,1,Jan-Mar,0.01,0.22,46.0,0.39,0.01,17.0,0.14,0.10,0.81,50.0,74,90.91
B8,2014,2,Apr-Jun,0.02,0.14,43.0,0.34,0.01,18.0,0.92,0.4,0.43,44.0,122,100.0
B8,2014,3,Jul-Sep,0.02,0.33,68.0,0.37,0.04,17.0,0.21,0.24,0.28,61.0,165,100.0
B8,2014,4,Oct-Dec,0.07,0.15,76.0,0.44,0.08,20.0,0.39,0.39,0.54,74.0,115,100.0
B14,2014,1,Jan-Mar,0.01,0.34,48.0,0.39,0.02,16.0,0.06,0.53,0.66,48.0,73,90.91
B14,2014,2,Apr-Jun,0.02,0.16,46.0,0.34,0.03,16.0,0.1,1.5,0.55,44.0,77,100.0
B14,2014,3,Jul-Sep,0.02,0.75,64.0,0.39,0.03,17.0,0.12,1,0.52,59.0,92,100.0
B14,2014,4,Oct-Dec,0.04,0.27,65.0,0.45,0.07,16.0,0.2,1.1,0.57,60.0,100,100.0
B12,2014,1,Jan-Mar,0.02,1.1,23.0,0.31,0.06,13.0,0.25,2.4,0.39,32.0,39,100.0
B12,2014,2,Apr-Jun,0.03,1.3,31.0,0.25,0.02,11.0,0.17,3.2,0.73,32.0,44,90.91
B12,2014,3,Jul-Sep,0.22,4.5,38.0,0.35,0.19,11.0,0.13,6.1,0.84,37.0,54,81.82
B12,2014,4,Oct-Dec,0.37,2.4,29.0,0.35,0.32,11.0,0.3,3.2,0.89,32.0,46,90.91
B10,2014,1,Jan-Mar,0.01,0.24,39.0,0.35,0.04,16.0,0.08,1.1,0.58,45.0,61,100.0
B10,2014,2,Apr-Jun,0.01,0.18,45.0,0.34,0.02,15.0,0.06,1.7,0.52,45.0,81,100.0
B10,2014,3,Jul-Sep,0.03,0.38,47.0,0.35,0.05,16.0,0.11,1.9,0.43,58.0,115,100.0
B10,2014,4,Oct-Dec,0.08,0.59,53.0,0.37,0.08,14.0,0.21,2,0.56,52.0,88,100.0
S1,2014,1,Jan-Mar,0.43,0.25,11.0,0.34,0.37,9.0,0.13,0.46,0.18,14.0,17,100.0
S1,2014,2,Apr-Jun,0.06,0.22,21.0,0.32,0.1,14.0,0.05,0.12,0.12,21.0,24,100.0
S1,2014,3,Jul-Sep,0.05,0.41,90.0,0.24,0.09,18.0,0.1,1.7,0.12,42.0,89,100.0
S1,2014,4,Oct-Dec,0.42,0.59,41.0,0.25,0.31,16.0,0.22,1.3,0.32,47.0,34,100.0
S2,2014,1,Jan-Mar,0.06,0.24,35.0,0.32,0.05,14.0,0.05,0.99,0.37,35.0,47,100.0
S2,2014,2,Apr-Jun,0.02,0.18,43.0,0.33,0.02,15.0,0.03,1.8,0.3,40.0,73,100.0
S2,2014,3,Jul-Sep,0.01,0.24,46.0,0.27,0.04,17.0,0.06,1.5,0.22,69.0,80,100.0
S2,2014,4,Oct-Dec,0.07,0.17,54.0,0.36,0.08,16.0,0.06,1.3,0.22,57.0,85,100.0
B1,2015,1,Jan-Mar,0.03,0.25,15.0,0.36,0.12,7.0,0.04,0.17,0.2,15.0,31,100.0
B1,2015,2,Apr-Jun,0.01,0.25,40.0,0.28,0.03,13.0,0.04,1.51,0.41,47.0,58,100.0
B1,2015,3,Jul-Sep,0.06,0.23,35.0,0.3,0.4,13.0,0.04,0.53,0.10,37.0,46,100.0
B1,2015,4,Oct-Dec,0.04,0.5,34.0,0.42,0.18,11.0,0.06,0.29,0.29,36.0,40,100.0
B2,2015,1,Jan-Mar,0.03,1.08,52.0,0.24,0.48,8.0,0.04,3.1,1.34,33.0,43,90.91
B2,2015,2,Apr-Jun,0.03,0.25,34.0,0.23,0.14,14.0,0.08,1.2,0.6,60.0,60,100.0
B2,2015,3,Jul-Sep,0.03,3.72,51.0,0.26,0.15,10.0,0.01,5.37,1.43,60.0,52,90.91
B2,2015,4,Oct-Dec,0.05,5.53,61.0,0.27,0.24,10.0,0.03,0.99,1.55,69.0,48,81.82
B3,2015,1,Jan-Mar,0.04,0.25,46.0,0.34,0.25,8.0,0.04,0.23,0.61,46.0,52,90.91
B3,2015,2,Apr-Jun,0.05,2.35,53.0,0.11,0.08,10.0,0.07,2.75,0.32,56.0,51,100.0
B3,2015,3,Jul-Sep,0.04,3.75,59.0,0.21,0.11,14.0,0.12,8.43,0.28,70.0,65,90.91
B3,2015,4,Oct-Dec,0.03,5.01,96.0,0.23,0.04,15.0,0.21,1.1,0.17,78.0,74,90.91
B4,2015,1,Jan-Mar,0.03,0.25,37.0,0.3,0.09,9.0,0.04,0.67,0.42,28.0,67,100.0
B4,2015,2,Apr-Jun,0.01,0.25,45.0,0.26,0.02,12.0,0.01,0.12,0.26,45.0,61,100.0
B4,2015,3,Jul-Sep,0.02,0.25,52.0,0.3,0.02,13.0,0.02,0.24,0.23,62.0,74,100.0
B4,2015,4,Oct-Dec,0.03,0.8,55.0,0.4,0.04,14.0,0.05,0.37,0.32,61.0,81,100.0
B9,2015,1,Jan-Mar,0.06,0.25,45.0,0.29,0.09,15.0,0.06,2.69,0.23,46.0,106,100.0
B9,2015,2,Apr-Jun,0.04,0.22,68.0,0.27,0.08,29.0,0.12,3.4,0.12,69.0,220,100.0
B9,2015,3,Jul-Sep,0.11,0.3,68.0,0.3,0.13,32.0,0.19,3.38,0.08,90.0,171,100.0
B9,2015,4,Oct-Dec,0.05,1.27,114.0,0.32,0.06,43.0,0.12,4.13,0.28,95.0,304,100.0
B13,2015,1,Jan-Mar,0.03,4.27,50.0,0.17,0.35,11.0,0.25,4.09,1.07,51.0,56,90.91
B13,2015,2,Apr-Jun,0.03,2.06,54.0,0.23,0.26,12.0,0.11,3.92,1.07,61.0,63,90.91
B13,2015,3,Jul-Sep,0.05,5.58,54.0,0.24,0.55,12.0,0.17,5.13,0.94,86.0,77,81.82
B13,2015,4,Oct-Dec,0.04,3.78,87.0,0.29,0.17,12.0,0.17,1.9,0.92,83.0,164,90.91
B5,2015,1,Jan-Mar,0.03,1.47,44.0,0.33,0.22,11.0,0.22,0.36,0.49,41.0,77,100.0
B5,2015,2,Apr-Jun,0.01,1.85,53.0,0.21,0.08,16.0,0.1,2,0.5,59.0,49,100.0
B5,2015,3,Jul-Sep,0.07,4.72,59.0,0.3,0.16,18.0,0.38,3.83,0.78,87.0,106,90.91
B5,2015,4,Oct-Dec,0.09,3.47,92.0,0.28,0.28,22.0,0.56,0.74,0.67,98.0,215,90.91
B16,2015,1,Jan-Mar,0.03,1.23,51.0,0.31,0.1,13.0,0.6,0.87,1.23,43.0,70,90.91
B16,2015,2,Apr-Jun,0.01,1.53,39.0,0.29,0.14,12.0,0.11,0.21,0.48,41.0,42,100.0
B16,2015,3,Jul-Sep,0.01,1.07,61.0,0.31,0.09,21.0,0.31,3.83,1.34,91.0,117,90.91
B16,2015,4,Oct-Dec,0.03,3.05,83.0,0.3,0.09,23.0,0.5,0.84,1.69,110.0,165,90.91
B6,2015,1,Jan-Mar,0.03,0.25,44.0,0.41,0.06,11.0,0.04,0.52,0.20,28.0,104,100.0
B6,2015,2,Apr-Jun,0.03,0.25,43.0,0.27,0.14,13.0,0.13,0.14,0.20,33.0,58,100.0
B6,2015,3,Jul-Sep,0.03,0.08,46.0,0.4,0.11,15.0,0.17,0.27,0.10,37.0,77,100.0
B6,2015,4,Oct-Dec,0.04,0.73,42.0,0.44,0.11,16.0,0.22,0.3,0.2,45.0,53,100.0
B15,2015,1,Jan-Mar,0.03,1.1,50.0,0.36,0.1,12.0,0.57,1,1.3,42.0,62,90.91
B15,2015,2,Apr-Jun,0.01,0.93,47.0,0.23,0.03,14.0,0.36,3.62,0.74,52.0,61,90.91
B15,2015,3,Jul-Sep,0.02,0.13,61.0,0.36,0.04,21.0,0.13,1.9,1.01,86.0,108,90.91
B15,2015,4,Oct-Dec,0.03,0.51,78.0,0.34,0.05,23.0,0.57,0.32,1.8,102.0,138,90.91
B17,2015,1,Jan-Mar,0.03,0.25,59.0,0.37,0.02,14.0,0.18,0.10,1.15,47.0,64,90.91
B17,2015,2,Apr-Jun,0.03,0.25,50.0,0.28,0.03,18.0,0.38,0.32,1.05,66.0,83,90.91
B17,2015,3,Jul-Sep,0.01,0.08,61.0,0.37,0.02,22.0,0.16,0.14,0.62,86.0,114,90.91
B17,2015,4,Oct-Dec,0.03,0.5,86.0,0.31,0.03,27.0,1.19,0.28,0.84,95.0,148,81.82
B11,2015,1,Jan-Mar,0.03,0.25,59.0,0.37,0.02,14.0,0.1,0.16,1.03,48.0,67,90.91
B11,2015,2,Apr-Jun,0.01,0.25,54.0,0.31,0.01,18.0,0.16,0.26,0.85,69.0,71,90.91
B11,2015,3,Jul-Sep,0.02,0.08,62.0,0.39,0.03,23.0,0.08,0.42,0.86,89.0,119,90.91
B11,2015,4,Oct-Dec,0.04,0.5,91.0,0.33,0.03,31.0,0.62,0.18,0.79,116.0,162,90.91
B7,2015,1,Jan-Mar,0.04,0.25,53.0,0.43,0.3,17.0,1.02,0.3,0.20,54.0,201,90.91
B7,2015,2,Apr-Jun,0.05,0.25,49.0,0.37,0.23,20.0,0.34,0.14,0.20,71.0,148,100.0
B7,2015,3,Jul-Sep,0.11,0.08,51.0,0.41,0.36,23.0,0.53,0.37,0.09,82.0,164,100.0
B7,2015,4,Oct-Dec,0.12,0.5,87.0,0.22,0.51,33.0,1.69,2.71,0.2,93.0,215,90.91
B8,2015,1,Jan-Mar,0.13,0.25,52.0,0.4,0.14,16.0,0.14,0.35,0.85,53.0,74,90.91
B8,2015,2,Apr-Jun,0.05,0.3,64.0,0.34,0.05,18.0,0.05,0.29,0.77,66.0,87,90.91
B8,2015,3,Jul-Sep,0.09,0.12,69.0,0.37,0.1,23.0,0.16,0.22,0.61,86.0,115,90.91
B8,2015,4,Oct-Dec,0.08,0.95,91.0,0.51,0.13,25.0,0.19,0.67,0.66,83.0,154,90.91
B14,2015,1,Jan-Mar,0.12,0.25,58.0,0.34,0.11,14.0,0.05,1.04,0.79,50.0,69,90.91
B14,2015,2,Apr-Jun,0.03,0.25,54.0,0.29,0.05,17.0,0.04,4.3,0.83,65.0,69,90.91
B14,2015,3,Jul-Sep,0.03,0.24,59.0,0.37,0.05,20.0,0.13,2.13,0.73,83.0,110,90.91
B14,2015,4,Oct-Dec,0.03,1.29,72.0,0.26,0.05,22.0,1.32,2,1.23,104.0,138,81.82
B12,2015,1,Jan-Mar,0.38,0.54,27.0,0.38,0.44,10.0,0.12,3.43,0.47,26.0,38,100.0
B12,2015,2,Apr-Jun,0.05,5.2,37.0,0.25,0.04,11.0,0.16,4.25,0.93,38.0,42,81.82
B12,2015,3,Jul-Sep,0.08,2.42,37.0,0.24,0.13,28.0,0.38,7.73,0.77,65.0,40,81.82
B12,2015,4,Oct-Dec,0.06,4.23,31.0,0.26,0.09,12.0,0.16,1.37,1.23,47.0,34,90.91
B10,2015,1,Jan-Mar,0.12,0.51,51.0,0.33,0.15,14.0,0.12,1.54,0.71,49.0,68,90.91
B10,2015,2,Apr-Jun,0.11,0.28,58.0,0.33,0.19,16.0,0.06,2.79,0.76,63.0,72,90.91
B10,2015,3,Jul-Sep,0.11,0.17,61.0,0.3,0.14,20.0,0.15,3.6,0.88,80.0,98,90.91
B10,2015,4,Oct-Dec,0.07,1.12,59.0,0.36,0.13,18.0,0.28,4.83,1.25,77.0,100,90.91
S1,2015,1,Jan-Mar,0.36,0.44,23.0,0.27,0.53,11.0,0.23,1.08,0.19,25.0,85,100.0
S1,2015,2,Apr-Jun,0.16,0.21,31.0,0.31,0.42,11.0,0.17,0.16,0.13,33.0,21,100.0
S1,2015,3,Jul-Sep,0.10,0.12,55.0,0.27,0.16,16.0,0.09,0.3,0.09,59.0,20,100.0
